[4/15/23 10:18PM] You used command ::dropoff | Player rights = PLAYER	
[4/15/23 10:18PM] You used command ::togglelevelsoff | Player rights = PLAYER	
[4/15/23 10:18PM] You used command ::train | Player rights = PLAYER	
[4/15/23 10:20PM] You used command ::vote | Player rights = PLAYER	
[4/15/23 10:21PM] You used command ::train | Player rights = PLAYER	
[4/15/23 10:23PM] You used command ::train | Player rights = PLAYER	
[4/15/23 10:26PM] You used command ::vote | Player rights = PLAYER	
[4/15/23 10:26PM] You used command ::claimvote | Player rights = PLAYER	
[4/15/23 10:28PM] You used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 10:28PM] You used command ::voteboss | Player rights = PLAYER	
[4/15/23 10:29PM] You used command ::veigar | Player rights = PLAYER	
[4/15/23 10:30PM] You used command ::ninetails | Player rights = PLAYER	
[4/15/23 10:31PM] You used command ::meruem | Player rights = PLAYER	
[4/15/23 10:39PM] You used command ::train | Player rights = CLERIC_DONATOR	
[4/15/23 10:40PM] You used command ::train | Player rights = CLERIC_DONATOR	
[4/15/23 10:42PM] You used command ::train | Player rights = CLERIC_DONATOR	
[4/15/23 10:42PM] You used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 10:42PM] You used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 10:43PM] You used command ::train | Player rights = CLERIC_DONATOR	
[4/15/23 10:44PM] You used command ::train | Player rights = CLERIC_DONATOR	
[4/15/23 10:45PM] You used command ::train | Player rights = CLERIC_DONATOR	
[4/15/23 10:45PM] You used command ::train | Player rights = CLERIC_DONATOR	
[4/15/23 10:54PM] You used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 10:59PM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:00PM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:07PM] You used command ::colloff | Player rights = CLERIC_DONATOR	
[4/15/23 11:07PM] You used command ::drooff | Player rights = CLERIC_DONATOR	
[4/15/23 11:08PM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:08PM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:09PM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:09PM] You used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:10PM] You used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:23PM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:23PM] You used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 11:23PM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:24PM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:24PM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:25PM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:26PM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:26PM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:26PM] You used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:26PM] You used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:27PM] You used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:27PM] You used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:27PM] You used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 11:30PM] You used command ::dropsoff | Player rights = CLERIC_DONATOR	
[4/15/23 11:30PM] You used command ::collsoff | Player rights = CLERIC_DONATOR	
[4/15/23 11:30PM] You used command ::colloff | Player rights = CLERIC_DONATOR	
[4/15/23 11:31PM] You used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/15/23 11:36PM] You used command ::dissolveall | Player rights = CLERIC_DONATOR	
[4/15/23 11:36PM] You used command ::dissolveall | Player rights = CLERIC_DONATOR	
[4/15/23 11:36PM] You used command ::disolveall | Player rights = CLERIC_DONATOR	
[4/15/23 11:36PM] You used command ::dissolveall | Player rights = CLERIC_DONATOR	
[4/15/23 11:36PM] You used command ::slayer | Player rights = CLERIC_DONATOR	
[4/15/23 11:38PM] You used command ::ref | Player rights = CLERIC_DONATOR	
[4/15/23 11:43PM] You used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 11:45PM] You used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:45PM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:45PM] You used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 11:54PM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:23AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:23AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:28AM] You used command ::curses | Player rights = CLERIC_DONATOR	
[4/16/23 12:53AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:10AM] You used command ::ref | Player rights = CLERIC_DONATOR	
[4/16/23 01:22AM] You used command ::recharge | Player rights = CLERIC_DONATOR	
[4/16/23 01:22AM] You used command ::restore | Player rights = CLERIC_DONATOR	
[4/16/23 01:23AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:28AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:28AM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:30AM] You used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:39AM] You used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 01:53AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:23AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:25AM] You used command ::ninetail | Player rights = CLERIC_DONATOR	
[4/16/23 02:25AM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:26AM] You used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:26AM] You used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:53AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:25AM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:26AM] You used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:29AM] You used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 03:30AM] You used command ::yell peeeeeeeeeeeeeep to voteboss :D | Player rights = CLERIC_DONATOR	
[4/16/23 03:52AM] You used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 03:53AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:54AM] You used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:40AM] You used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 04:40AM] You used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:44AM] You used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 04:45AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:47AM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:00AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:03AM] You used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:07AM] You used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:12AM] You used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:12AM] You used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:19AM] You used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:19AM] You used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 05:22AM] You used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:24AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:25AM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:26AM] You used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:28AM] You used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:34AM] You used command ::store | Player rights = CLERIC_DONATOR	
[4/16/23 05:36AM] You used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:53AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:23AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] You used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] You used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] You used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:32AM] You used command ::::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 06:33AM] You used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 06:41AM] You used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 06:53AM] You used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 06:57AM] You used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/16/23 07:23AM] You used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 07:24AM] You used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 07:24AM] You used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 07:24AM] You used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 07:29AM] You used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/16/23 07:41AM] You used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/16/23 07:43AM] You used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 07:49AM] You used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 07:49AM] You used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 07:53AM] You used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 07:55AM] You used command ::vote | Player rights = TORMENTED_DONATOR	
[4/16/23 08:01AM] You used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:23AM] You used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 08:23AM] You used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 08:24AM] You used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 08:34AM] You used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 08:47AM] You used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:47AM] You used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:48AM] You used command ::bank | Player rights = TORMENTED_DONATOR	
