[4/16/23 09:32AM] Phat used command ::shops | Player rights = PLAYER	
[4/16/23 09:33AM] Phat used command ::afk | Player rights = PLAYER	
[4/16/23 09:57AM] Phat used command ::afk | Player rights = PLAYER	
[4/16/23 10:28AM] Phat used command ::afk | Player rights = PLAYER	
[4/16/23 10:59AM] Phat used command ::afk | Player rights = PLAYER	
[4/16/23 11:18AM] Phat used command ::afk | Player rights = PLAYER	
[4/16/23 11:34AM] Phat used command ::afk | Player rights = PLAYER	
[4/16/23 12:02PM] Phat used command ::afk | Player rights = PLAYER	
[4/16/23 01:53PM] Phat used command ::afk | Player rights = PLAYER	
[4/16/23 02:02PM] Phat used command ::afk | Player rights = PLAYER	
[4/16/23 06:28PM] Phat used command ::afk | Player rights = PLAYER	
