[4/15/23 06:09AM] Zshana used command ::train | Player rights = PLAYER	
[4/15/23 06:10AM] Zshana used command ::totem | Player rights = PLAYER	
[4/15/23 06:10AM] Zshana used command ::train | Player rights = PLAYER	
[4/15/23 06:11AM] Zshana used command ::refer | Player rights = PLAYER	
[4/15/23 06:14AM] Zshana used command ::train | Player rights = PLAYER	
[4/15/23 06:14AM] Zshana used command ::train | Player rights = PLAYER	
[4/15/23 06:16AM] Zshana used command ::train | Player rights = PLAYER	
[4/15/23 06:20AM] Zshana used command ::train | Player rights = PLAYER	
[4/15/23 06:21AM] Zshana used command ::train | Player rights = PLAYER	
[4/15/23 06:22AM] Zshana used command ::vote | Player rights = PLAYER	
[4/15/23 06:23AM] Zshana used command ::reward 1 | Player rights = PLAYER	
[4/15/23 06:23AM] Zshana used command ::reward 1 | Player rights = PLAYER	
[4/15/23 06:24AM] Zshana used command ::reward 1 | Player rights = PLAYER	
[4/15/23 06:24AM] Zshana used command ::train | Player rights = PLAYER	
[4/15/23 06:26AM] Zshana used command ::totem | Player rights = PLAYER	
[4/15/23 06:43AM] Zshana used command ::progress | Player rights = PLAYER	
[4/15/23 06:48AM] Zshana used command ::veigar | Player rights = PLAYER	
[4/15/23 07:03AM] Zshana used command ::train | Player rights = PLAYER	
[4/15/23 07:06AM] Zshana used command ::totme | Player rights = PLAYER	
[4/15/23 07:06AM] Zshana used command ::totem | Player rights = PLAYER	
[4/15/23 07:26AM] Zshana used command :::totem | Player rights = PLAYER	
[4/15/23 07:26AM] Zshana used command ::totem | Player rights = PLAYER	
[4/15/23 07:38AM] Zshana used command ::totem | Player rights = PLAYER	
[4/15/23 07:40AM] Zshana used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:43AM] Zshana used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:43AM] Zshana used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:43AM] Zshana used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:01AM] Zshana used command ::ninetails | Player rights = GRACEFUL_DONATOR	
