[4/20/23 05:14PM] Hi used command ::reward 1 | Player rights = PLAYER	
[4/20/23 05:14PM] Hi used command ::reward 1 | Player rights = PLAYER	
[4/20/23 05:14PM] Hi used command ::reward 1 | Player rights = PLAYER	
[4/20/23 05:14PM] Hi used command ::reward 1'::reward 1 | Player rights = PLAYER	
[4/20/23 05:14PM] Hi used command ::reward 1 | Player rights = PLAYER	
[4/21/23 11:31PM] Hi used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 11:32PM] Hi used command ::veigar | Player rights = PLAYER	
[4/21/23 11:34PM] Hi used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:35PM] Hi used command ::golden | Player rights = PLAYER	
[4/21/23 11:35PM] Hi used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 04:17PM] Hi used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 04:19PM] Hi used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 07:34PM] Hi used command ::veiar | Player rights = PLAYER	
[4/22/23 07:34PM] Hi used command ::veigar | Player rights = PLAYER	
[4/22/23 07:34PM] Hi used command ::ninetails | Player rights = PLAYER	
[4/22/23 07:35PM] Hi used command ::meruem | Player rights = PLAYER	
[4/22/23 07:35PM] Hi used command ::golden | Player rights = PLAYER	
[4/22/23 07:39PM] Hi used command ::vboss | Player rights = PLAYER	
[4/22/23 07:43PM] Hi used command ::vboss | Player rights = PLAYER	
[4/22/23 08:32PM] Hi used command ::veigar | Player rights = PLAYER	
[4/22/23 08:33PM] Hi used command ::ninetails | Player rights = PLAYER	
[4/22/23 08:34PM] Hi used command ::meruem | Player rights = PLAYER	
[4/22/23 08:35PM] Hi used command ::golden | Player rights = PLAYER	
[4/22/23 09:33PM] Hi used command ::veigar | Player rights = PLAYER	
[4/22/23 09:34PM] Hi used command ::ninetails | Player rights = PLAYER	
[4/22/23 09:50PM] Hi used command ::vboss | Player rights = PLAYER	
[4/22/23 09:53PM] Hi used command ::hideall | Player rights = PLAYER	
[4/22/23 10:33PM] Hi used command ::veigar | Player rights = PLAYER	
[4/22/23 10:34PM] Hi used command ::ninetails | Player rights = PLAYER	
[4/22/23 10:35PM] Hi used command ::meruem | Player rights = PLAYER	
[4/22/23 11:08PM] Hi used command ::voteboss::vboss | Player rights = PLAYER	
[4/22/23 11:08PM] Hi used command ::vboss | Player rights = PLAYER	
[4/22/23 11:33PM] Hi used command ::veigar | Player rights = PLAYER	
[4/22/23 11:33PM] Hi used command ::ninetails | Player rights = PLAYER	
[4/22/23 11:34PM] Hi used command ::meruem | Player rights = PLAYER	
[4/22/23 11:35PM] Hi used command ::golden | Player rights = PLAYER	
[4/23/23 12:32AM] Hi used command ::veigar | Player rights = PLAYER	
[4/23/23 12:33AM] Hi used command ::ninetails | Player rights = PLAYER	
[4/23/23 12:34AM] Hi used command ::meruem | Player rights = PLAYER	
[4/23/23 12:50AM] Hi used command ::vboss | Player rights = PLAYER	
[4/23/23 01:32AM] Hi used command ::vboss::veigar | Player rights = PLAYER	
[4/23/23 01:33AM] Hi used command ::veigar | Player rights = PLAYER	
[4/23/23 01:35AM] Hi used command ::ninetails | Player rights = PLAYER	
[4/23/23 01:35AM] Hi used command ::meruem | Player rights = PLAYER	
[4/23/23 02:32AM] Hi used command ::veigar | Player rights = PLAYER	
[4/23/23 02:33AM] Hi used command ::ninetails | Player rights = PLAYER	
[4/23/23 02:34AM] Hi used command ::meruem | Player rights = PLAYER	
[4/23/23 02:35AM] Hi used command ::golden | Player rights = PLAYER	
[4/23/23 02:58AM] Hi used command ::veigar | Player rights = PLAYER	
[4/23/23 04:32AM] Hi used command ::vboss | Player rights = PLAYER	
[4/26/23 01:13AM] Hi used command ::ninetails | Player rights = PLAYER	
[4/26/23 01:15AM] Hi used command :::ninetails | Player rights = PLAYER	
[4/26/23 01:15AM] Hi used command ::ninetails | Player rights = PLAYER	
[4/26/23 01:16AM] Hi used command ::meruem | Player rights = PLAYER	
[4/26/23 01:17AM] Hi used command ::meruem | Player rights = PLAYER	
[4/26/23 01:17AM] Hi used command ::meruem | Player rights = PLAYER	
[4/26/23 01:18AM] Hi used command ::golden | Player rights = PLAYER	
[4/26/23 03:15AM] Hi used command ::golden | Player rights = PLAYER	
[4/26/23 03:20AM] Hi used command ::vboss | Player rights = PLAYER	
[4/27/23 08:35AM] Hi used command ::veigaR | Player rights = PLAYER	
[4/27/23 04:29PM] Hi used command ::VBOSS | Player rights = PLAYER	
[4/27/23 04:35PM] Hi used command ::VEIGAR | Player rights = PLAYER	
[4/27/23 05:01PM] Hi used command ::veigar | Player rights = PLAYER	
[4/27/23 05:02PM] Hi used command ::ninetails::vboss | Player rights = PLAYER	
[4/27/23 05:03PM] Hi used command ::meruem | Player rights = PLAYER	
[4/27/23 05:05PM] Hi used command ::veigar | Player rights = PLAYER	
[4/27/23 05:06PM] Hi used command ::ninetails::golden | Player rights = PLAYER	
[4/27/23 05:07PM] Hi used command ::ninetails | Player rights = PLAYER	
[4/27/23 05:48PM] Hi used command ::vboss | Player rights = PLAYER	
[4/27/23 06:05PM] Hi used command ::golden:veigar | Player rights = PLAYER	
[4/27/23 06:05PM] Hi used command ::veigar | Player rights = PLAYER	
[4/27/23 06:06PM] Hi used command ::ninetails | Player rights = PLAYER	
[4/27/23 06:07PM] Hi used command ::golden | Player rights = PLAYER	
