[4/19/23 05:48PM] Sumnimrod used command ::train | Player rights = PLAYER	
[4/19/23 05:55PM] Sumnimrod used command ::home | Player rights = PLAYER	
[4/19/23 05:58PM] Sumnimrod used command ::train | Player rights = PLAYER	
[4/19/23 06:14PM] Sumnimrod used command ::veigar | Player rights = PLAYER	
[4/19/23 06:15PM] Sumnimrod used command ::train | Player rights = PLAYER	
[4/19/23 06:21PM] Sumnimrod used command ::home | Player rights = PLAYER	
[4/19/23 06:27PM] Sumnimrod used command ::Vote | Player rights = PLAYER	
[4/19/23 06:31PM] Sumnimrod used command ::voted | Player rights = PLAYER	
[4/19/23 06:31PM] Sumnimrod used command ::claim | Player rights = PLAYER	
[4/19/23 06:31PM] Sumnimrod used command ::voted | Player rights = PLAYER	
[4/19/23 06:31PM] Sumnimrod used command ::redeem | Player rights = PLAYER	
[4/19/23 06:34PM] Sumnimrod used command ::reward 1 | Player rights = PLAYER	
[4/19/23 06:34PM] Sumnimrod used command ::reward | Player rights = PLAYER	
[4/19/23 06:34PM] Sumnimrod used command ::reward all | Player rights = PLAYER	
[4/19/23 06:34PM] Sumnimrod used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 06:36PM] Sumnimrod used command ::pos | Player rights = PLAYER	
[4/19/23 06:37PM] Sumnimrod used command ::home | Player rights = PLAYER	
[4/19/23 06:43PM] Sumnimrod used command ::voteboss | Player rights = PLAYER	
[4/19/23 06:43PM] Sumnimrod used command ::home | Player rights = PLAYER	
[4/19/23 06:44PM] Sumnimrod used command ::gamble | Player rights = PLAYER	
[4/19/23 06:45PM] Sumnimrod used command ::teleport | Player rights = PLAYER	
[4/19/23 06:45PM] Sumnimrod used command ::commands | Player rights = PLAYER	
[4/19/23 06:46PM] Sumnimrod used command ::pos | Player rights = PLAYER	
[4/19/23 06:46PM] Sumnimrod used command ::shops | Player rights = PLAYER	
[4/19/23 06:46PM] Sumnimrod used command ::Shops | Player rights = PLAYER	
[4/19/23 06:46PM] Sumnimrod used command ::commands | Player rights = PLAYER	
[4/19/23 06:47PM] Sumnimrod used command ::perks | Player rights = PLAYER	
[4/19/23 06:47PM] Sumnimrod used command ::commands | Player rights = PLAYER	
[4/19/23 06:51PM] Sumnimrod used command ::train2 | Player rights = PLAYER	
[4/19/23 06:52PM] Sumnimrod used command ::Ref | Player rights = PLAYER	
[4/19/23 06:53PM] Sumnimrod used command ::ref | Player rights = PLAYER	
[4/19/23 06:54PM] Sumnimrod used command ::ref fpkmerk | Player rights = PLAYER	
[4/19/23 07:13PM] Sumnimrod used command ::veigar | Player rights = PLAYER	
[4/19/23 07:43PM] Sumnimrod used command ::viegar | Player rights = PLAYER	
[4/19/23 07:43PM] Sumnimrod used command ::viegar | Player rights = PLAYER	
[4/19/23 07:43PM] Sumnimrod used command ::veigar | Player rights = PLAYER	
