[4/20/23 12:27AM] Fatmanfred used command ::train | Player rights = PLAYER	
[4/20/23 12:47AM] Fatmanfred used command ::ref | Player rights = PLAYER	
[4/20/23 12:47AM] Fatmanfred used command ::red | Player rights = PLAYER	
[4/20/23 12:47AM] Fatmanfred used command ::ref | Player rights = PLAYER	
[4/20/23 12:49AM] Fatmanfred used command ::veigar | Player rights = PLAYER	
[4/20/23 12:51AM] Fatmanfred used command ::train | Player rights = PLAYER	
[4/20/23 01:06AM] Fatmanfred used command ::hidecommon | Player rights = PLAYER	
[4/20/23 01:24AM] Fatmanfred used command ::meruem | Player rights = PLAYER	
[4/20/23 01:49AM] Fatmanfred used command ::veigar | Player rights = PLAYER	
[4/20/23 01:56AM] Fatmanfred used command ::vote | Player rights = PLAYER	
[4/20/23 01:57AM] Fatmanfred used command ::claimvote | Player rights = PLAYER	
[4/20/23 01:57AM] Fatmanfred used command ::reward 1 | Player rights = PLAYER	
[4/20/23 01:58AM] Fatmanfred used command ::reward 1 | Player rights = PLAYER	
[4/20/23 01:58AM] Fatmanfred used command ::reward 1 | Player rights = PLAYER	
[4/20/23 01:58AM] Fatmanfred used command ::reward 1 | Player rights = PLAYER	
[4/20/23 02:02AM] Fatmanfred used command ::vboss | Player rights = PLAYER	
[4/20/23 02:19AM] Fatmanfred used command ::viegar | Player rights = PLAYER	
[4/20/23 02:19AM] Fatmanfred used command ::vergar | Player rights = PLAYER	
[4/20/23 02:19AM] Fatmanfred used command ::veigar | Player rights = PLAYER	
[4/20/23 02:49AM] Fatmanfred used command ::viegar | Player rights = PLAYER	
[4/20/23 02:49AM] Fatmanfred used command ::veigar | Player rights = PLAYER	
[4/20/23 03:02AM] Fatmanfred used command ::pos | Player rights = PLAYER	
[4/20/23 03:02AM] Fatmanfred used command ::pos | Player rights = PLAYER	
[4/20/23 03:19AM] Fatmanfred used command ::veigar | Player rights = PLAYER	
[4/20/23 03:21AM] Fatmanfred used command ::golden | Player rights = PLAYER	
[4/20/23 03:21AM] Fatmanfred used command ::meruem | Player rights = PLAYER	
[4/20/23 03:21AM] Fatmanfred used command ::ninetails | Player rights = PLAYER	
[4/20/23 03:22AM] Fatmanfred used command ::meruem | Player rights = PLAYER	
[4/20/23 03:24AM] Fatmanfred used command ::golden | Player rights = PLAYER	
[4/20/23 03:26AM] Fatmanfred used command ::vboss | Player rights = PLAYER	
[4/20/23 03:27AM] Fatmanfred used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:52AM] Fatmanfred used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:54AM] Fatmanfred used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:54AM] Fatmanfred used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:54AM] Fatmanfred used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:02AM] Fatmanfred used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:33AM] Fatmanfred used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:53AM] Fatmanfred used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:53AM] Fatmanfred used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:55AM] Fatmanfred used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:21AM] Fatmanfred used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:32AM] Fatmanfred used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:34AM] Fatmanfred used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:34AM] Fatmanfred used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35AM] Fatmanfred used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:38AM] Fatmanfred used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:43AM] Fatmanfred used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:02AM] Fatmanfred used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:33AM] Fatmanfred used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:34AM] Fatmanfred used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:29AM] Fatmanfred used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:32AM] Fatmanfred used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:03AM] Fatmanfred used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:51AM] Fatmanfred used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:55AM] Fatmanfred used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:55AM] Fatmanfred used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:03AM] Fatmanfred used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:03PM] Fatmanfred used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:32PM] Fatmanfred used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:34PM] Fatmanfred used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:35PM] Fatmanfred used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:36PM] Fatmanfred used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:36PM] Fatmanfred used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:37PM] Fatmanfred used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:39PM] Fatmanfred used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:40PM] Fatmanfred used command ::hideplayers | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:03PM] Fatmanfred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:32AM] Fatmanfred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:33AM] Fatmanfred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 02:34AM] Fatmanfred used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 02:35AM] Fatmanfred used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 08:22AM] Fatmanfred used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 08:23AM] Fatmanfred used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 08:26AM] Fatmanfred used command ::ref noble | Player rights = CLERIC_DONATOR	
[4/26/23 08:35AM] Fatmanfred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:05AM] Fatmanfred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:06AM] Fatmanfred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 09:07AM] Fatmanfred used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 09:09AM] Fatmanfred used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 09:21AM] Fatmanfred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 09:34AM] Fatmanfred used command ::Callpet | Player rights = CLERIC_DONATOR	
[4/26/23 09:35AM] Fatmanfred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 10:05AM] Fatmanfred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 10:06AM] Fatmanfred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 10:07AM] Fatmanfred used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 10:08AM] Fatmanfred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:08AM] Fatmanfred used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 10:08AM] Fatmanfred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:09AM] Fatmanfred used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 10:10AM] Fatmanfred used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 10:11AM] Fatmanfred used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 10:15AM] Fatmanfred used command ::ref | Player rights = CLERIC_DONATOR	
[4/26/23 10:35AM] Fatmanfred used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 06:05PM] Fatmanfred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 06:06PM] Fatmanfred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 06:07PM] Fatmanfred used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 06:09PM] Fatmanfred used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 06:54PM] Fatmanfred used command ::discord | Player rights = CLERIC_DONATOR	
[4/26/23 07:05PM] Fatmanfred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 07:06PM] Fatmanfred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 07:07PM] Fatmanfred used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 07:09PM] Fatmanfred used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 07:17PM] Fatmanfred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 07:17PM] Fatmanfred used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 07:19PM] Fatmanfred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 07:20PM] Fatmanfred used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 07:35PM] Fatmanfred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 08:22PM] Fatmanfred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 07:04AM] Fatmanfred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 07:07AM] Fatmanfred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 07:08AM] Fatmanfred used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 07:10AM] Fatmanfred used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 07:28AM] Fatmanfred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/27/23 07:28AM] Fatmanfred used command ::home | Player rights = CLERIC_DONATOR	
