[4/20/23 04:43PM] Slayer Uim used command ::voteboss | Player rights = PLAYER	
[4/20/23 04:49PM] Slayer Uim used command ::veigar | Player rights = PLAYER	
[4/20/23 05:02PM] Slayer Uim used command ::afk | Player rights = PLAYER	
[4/20/23 09:45PM] Slayer Uim used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:03PM] Slayer Uim used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:33PM] Slayer Uim used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:02PM] Slayer Uim used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:04PM] Slayer Uim used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:22PM] Slayer Uim used command ::ref walkchaos | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:23PM] Slayer Uim used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:25PM] Slayer Uim used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:28PM] Slayer Uim used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:28PM] Slayer Uim used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32PM] Slayer Uim used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33PM] Slayer Uim used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34PM] Slayer Uim used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35PM] Slayer Uim used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35PM] Slayer Uim used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35PM] Slayer Uim used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:03PM] Slayer Uim used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:57PM] Slayer Uim used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02PM] Slayer Uim used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:19PM] Slayer Uim used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:32PM] Slayer Uim used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:33PM] Slayer Uim used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:34PM] Slayer Uim used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:36PM] Slayer Uim used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:03PM] Slayer Uim used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:13PM] Slayer Uim used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 11:32PM] Slayer Uim used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:34PM] Slayer Uim used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:35PM] Slayer Uim used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:37PM] Slayer Uim used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 11:38PM] Slayer Uim used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 02:32AM] Slayer Uim used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:34AM] Slayer Uim used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:36AM] Slayer Uim used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:37AM] Slayer Uim used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:37AM] Slayer Uim used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 08:35AM] Slayer Uim used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 10:52PM] Slayer Uim used command ::reward 1 all | Player rights = CLERIC_DONATOR	
