[4/23/23 05:15AM] Mayumi used command ::totem | Player rights = PLAYER	
[4/23/23 05:17AM] Mayumi used command ::bank | Player rights = PLAYER	
[4/23/23 05:17AM] Mayumi used command ::train | Player rights = PLAYER	
[4/23/23 05:19AM] Mayumi used command ::totem | Player rights = PLAYER	
[4/23/23 05:20AM] Mayumi used command ::train | Player rights = PLAYER	
[4/23/23 05:25AM] Mayumi used command ::totem | Player rights = PLAYER	
[4/23/23 05:35AM] Mayumi used command ::veigar | Player rights = PLAYER	
[4/23/23 05:35AM] Mayumi used command ::prayer | Player rights = PLAYER	
[4/23/23 05:35AM] Mayumi used command ::totem | Player rights = PLAYER	
[4/23/23 05:40AM] Mayumi used command ::bank | Player rights = PLAYER	
[4/23/23 05:41AM] Mayumi used command ::home | Player rights = PLAYER	
[4/23/23 05:55AM] Mayumi used command ::collection | Player rights = PLAYER	
[4/23/23 05:57AM] Mayumi used command ::reward 4 | Player rights = PLAYER	
[4/23/23 05:57AM] Mayumi used command ::reward 1 | Player rights = PLAYER	
[4/23/23 05:57AM] Mayumi used command ::reward 1 | Player rights = PLAYER	
[4/23/23 05:57AM] Mayumi used command ::voted | Player rights = PLAYER	
[4/23/23 05:57AM] Mayumi used command ::reward 1 all | Player rights = PLAYER	
[4/23/23 05:58AM] Mayumi used command ::vote | Player rights = PLAYER	
[4/23/23 05:58AM] Mayumi used command ::reward 1 all | Player rights = PLAYER	
[4/23/23 06:00AM] Mayumi used command ::pos | Player rights = PLAYER	
[4/23/23 06:04AM] Mayumi used command ::veigar | Player rights = PLAYER	
[4/23/23 06:05AM] Mayumi used command ::ninetails | Player rights = PLAYER	
[4/23/23 06:05AM] Mayumi used command ::meruem | Player rights = PLAYER	
[4/23/23 06:05AM] Mayumi used command ::golden | Player rights = PLAYER	
[4/23/23 06:14AM] Mayumi used command ::totem | Player rights = PLAYER	
[4/23/23 06:23AM] Mayumi used command ::collection | Player rights = PLAYER	
[4/23/23 06:28AM] Mayumi used command ::collection | Player rights = PLAYER	
