[4/23/23 10:43AM] Final Hour used command ::Starter | Player rights = PLAYER	
[4/23/23 11:00AM] Final Hour used command ::Starter | Player rights = PLAYER	
[4/23/23 11:05AM] Final Hour used command ::starter | Player rights = PLAYER	
[4/23/23 11:07AM] Final Hour used command ::bank | Player rights = PLAYER	
[4/23/23 11:25AM] Final Hour used command ::veigar | Player rights = PLAYER	
[4/23/23 11:53AM] Final Hour used command ::ref | Player rights = PLAYER	
[4/23/23 11:55AM] Final Hour used command ::veigar | Player rights = PLAYER	
[4/23/23 11:55AM] Final Hour used command ::claimvote | Player rights = PLAYER	
[4/23/23 11:55AM] Final Hour used command ::Voted | Player rights = PLAYER	
[4/23/23 11:55AM] Final Hour used command ::voted | Player rights = PLAYER	
[4/23/23 11:59AM] Final Hour used command ::reward 1 | Player rights = PLAYER	
[4/23/23 11:59AM] Final Hour used command ::pos | Player rights = PLAYER	
[4/23/23 11:59AM] Final Hour used command ::veigar | Player rights = PLAYER	
[4/23/23 10:01PM] Final Hour used command ::viegar | Player rights = PLAYER	
[4/23/23 10:01PM] Final Hour used command ::veigar | Player rights = PLAYER	
[4/23/23 11:01PM] Final Hour used command ::veigar | Player rights = PLAYER	
[4/23/23 11:05PM] Final Hour used command ::pos | Player rights = PLAYER	
[4/24/23 12:02AM] Final Hour used command ::veigar | Player rights = PLAYER	
[4/24/23 12:30AM] Final Hour used command ::collectionlog | Player rights = PLAYER	
[4/24/23 12:31AM] Final Hour used command ::veigar | Player rights = PLAYER	
[4/24/23 12:33AM] Final Hour used command ::ninetails | Player rights = PLAYER	
[4/24/23 12:34AM] Final Hour used command ::meruem | Player rights = PLAYER	
[4/24/23 12:36AM] Final Hour used command ::golden | Player rights = PLAYER	
[4/24/23 01:01AM] Final Hour used command ::veigar | Player rights = PLAYER	
[4/24/23 01:17AM] Final Hour used command ::collectionlog | Player rights = PLAYER	
[4/24/23 01:22AM] Final Hour used command ::collectionlog | Player rights = PLAYER	
[4/24/23 01:24AM] Final Hour used command ::collectionlog | Player rights = PLAYER	
[4/24/23 01:25AM] Final Hour used command ::collectionlog | Player rights = PLAYER	
[4/24/23 01:31AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:33AM] Final Hour used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:47AM] Final Hour used command ::collectionlog | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:52AM] Final Hour used command ::collectionlog | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:54AM] Final Hour used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:59AM] Final Hour used command ::sets | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:59AM] Final Hour used command ::tiers | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:02AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:06AM] Final Hour used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:06AM] Final Hour used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:10AM] Final Hour used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:16AM] Final Hour used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:39AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:39AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:39AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:39AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:39AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:39AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:39AM] Final Hour used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:40AM] Final Hour used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:46AM] Final Hour used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:49AM] Final Hour used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:01AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:03AM] Final Hour used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:14AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:14AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:32AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:36AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:36AM] Final Hour used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:55AM] Final Hour used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:01AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:04AM] Final Hour used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:04AM] Final Hour used command ::kc inferno | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:10AM] Final Hour used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:31AM] Final Hour used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:33AM] Final Hour used command ::ninetails | Player rights = GRACEFUL_DONATOR	
