[4/17/23 11:45PM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/17/23 11:46PM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/19/23 12:52PM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/19/23 01:37PM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/19/23 09:10PM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/19/23 11:17PM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/20/23 07:42AM] Entropy Afk used command ::ref fpk merk | Player rights = PLAYER	
[4/20/23 07:42AM] Entropy Afk used command ::ref | Player rights = PLAYER	
[4/20/23 07:43AM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/20/23 08:03AM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/20/23 08:19PM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/20/23 08:22PM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/20/23 08:41PM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/21/23 01:32AM] Entropy Afk used command ::home | Player rights = PLAYER	
[4/21/23 01:38AM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/22/23 12:39AM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/22/23 01:51AM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/22/23 11:20AM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/23/23 07:43PM] Entropy Afk used command ::afk | Player rights = PLAYER	
[4/25/23 03:10PM] Entropy Afk used command ::afk | Player rights = PLAYER	
