[4/21/23 10:12AM] Lungs used command ::players | Player rights = PLAYER	
[4/21/23 10:12AM] Lungs used command ::train | Player rights = PLAYER	
[4/21/23 10:14AM] Lungs used command ::train | Player rights = PLAYER	
[4/21/23 10:15AM] Lungs used command ::train | Player rights = PLAYER	
[4/21/23 10:21AM] Lungs used command ::train | Player rights = PLAYER	
[4/21/23 10:21AM] Lungs used command ::bank | Player rights = PLAYER	
[4/21/23 10:26AM] Lungs used command ::home | Player rights = PLAYER	
[4/21/23 10:28AM] Lungs used command ::bank | Player rights = PLAYER	
[4/21/23 10:30AM] Lungs used command ::train | Player rights = PLAYER	
[4/21/23 10:31AM] Lungs used command ::train | Player rights = PLAYER	
[4/21/23 10:31AM] Lungs used command ::train | Player rights = PLAYER	
[4/21/23 10:33AM] Lungs used command ::train | Player rights = PLAYER	
[4/21/23 10:33AM] Lungs used command ::veigar | Player rights = PLAYER	
[4/21/23 10:33AM] Lungs used command ::veigar | Player rights = PLAYER	
[4/21/23 10:33AM] Lungs used command ::home | Player rights = PLAYER	
[4/21/23 10:41AM] Lungs used command ::bank | Player rights = PLAYER	
[4/21/23 10:53AM] Lungs used command ::home | Player rights = PLAYER	
[4/21/23 10:55AM] Lungs used command ::dr | Player rights = PLAYER	
[4/21/23 11:02AM] Lungs used command ::veigar | Player rights = PLAYER	
[4/21/23 11:05AM] Lungs used command ::bank | Player rights = PLAYER	
[4/21/23 11:11AM] Lungs used command ::bank | Player rights = PLAYER	
[4/21/23 11:32AM] Lungs used command ::veigar | Player rights = PLAYER	
[4/21/23 12:22PM] Lungs used command ::home | Player rights = PLAYER	
[4/21/23 12:23PM] Lungs used command ::Maxhit | Player rights = PLAYER	
[4/21/23 12:23PM] Lungs used command ::maxhit | Player rights = PLAYER	
[4/21/23 12:33PM] Lungs used command ::veigar | Player rights = PLAYER	
[4/21/23 03:40PM] Lungs used command ::Afk | Player rights = PLAYER	
[4/21/23 03:41PM] Lungs used command ::PLayers | Player rights = PLAYER	
[4/21/23 03:41PM] Lungs used command ::Shops | Player rights = PLAYER	
[4/21/23 03:41PM] Lungs used command ::home | Player rights = PLAYER	
[4/21/23 03:42PM] Lungs used command ::afk | Player rights = PLAYER	
[4/21/23 03:43PM] Lungs used command ::afk | Player rights = PLAYER	
[4/22/23 08:13PM] Lungs used command ::Players | Player rights = PLAYER	
[4/22/23 08:22PM] Lungs used command ::yell what to buy 1st from slayer pt shop | Player rights = PLAYER	
[4/22/23 08:26PM] Lungs used command ::bank | Player rights = PLAYER	
[4/22/23 08:32PM] Lungs used command ::beigar | Player rights = PLAYER	
[4/22/23 08:32PM] Lungs used command ::veigar | Player rights = PLAYER	
[4/22/23 08:33PM] Lungs used command ::ninetails | Player rights = PLAYER	
[4/22/23 08:34PM] Lungs used command ::mereum | Player rights = PLAYER	
[4/22/23 08:34PM] Lungs used command ::golden | Player rights = PLAYER	
[4/22/23 08:35PM] Lungs used command ::golden | Player rights = PLAYER	
[4/22/23 08:36PM] Lungs used command ::bank | Player rights = PLAYER	
[4/22/23 08:37PM] Lungs used command ::home | Player rights = PLAYER	
[4/22/23 08:40PM] Lungs used command ::home | Player rights = PLAYER	
[4/22/23 08:46PM] Lungs used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:46PM] Lungs used command ::Maxhit | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:57PM] Lungs used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:00PM] Lungs used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:02PM] Lungs used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:06PM] Lungs used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:15PM] Lungs used command ::players | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32PM] Lungs used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:34PM] Lungs used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:35PM] Lungs used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:47PM] Lungs used command ::Players | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:50PM] Lungs used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:53PM] Lungs used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:54PM] Lungs used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:54PM] Lungs used command ::rewhat is refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:54PM] Lungs used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:00PM] Lungs used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:07PM] Lungs used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:09PM] Lungs used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:32PM] Lungs used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33PM] Lungs used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:34PM] Lungs used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:35PM] Lungs used command ::slayer's house? | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:35PM] Lungs used command ::golden. | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:36PM] Lungs used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:06AM] Lungs used command ::yell anyone have spare bones for me | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:12AM] Lungs used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:32AM] Lungs used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:33AM] Lungs used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:34AM] Lungs used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:35AM] Lungs used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:37AM] Lungs used command ::veigar | Player rights = GRACEFUL_DONATOR	
