[4/20/23 07:33AM] Blind Shit used command ::train | Player rights = PLAYER	
[4/20/23 07:34AM] Blind Shit used command ::voteboss | Player rights = PLAYER	
[4/20/23 07:34AM] Blind Shit used command ::hideall | Player rights = PLAYER	
[4/20/23 07:37AM] Blind Shit used command ::train | Player rights = PLAYER	
[4/20/23 07:49AM] Blind Shit used command ::veigar | Player rights = PLAYER	
[4/20/23 08:00AM] Blind Shit used command ::train | Player rights = PLAYER	
[4/20/23 08:15AM] Blind Shit used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:20AM] Blind Shit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:21AM] Blind Shit used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:21AM] Blind Shit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:21AM] Blind Shit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:22AM] Blind Shit used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:31AM] Blind Shit used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:31AM] Blind Shit used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:49AM] Blind Shit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:52AM] Blind Shit used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:57AM] Blind Shit used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:26AM] Blind Shit used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:19AM] Blind Shit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:20AM] Blind Shit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:22AM] Blind Shit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:24AM] Blind Shit used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:25AM] Blind Shit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:26AM] Blind Shit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:27AM] Blind Shit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:27AM] Blind Shit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:30AM] Blind Shit used command ::golden | Player rights = GRACEFUL_DONATOR	
