[4/19/23 12:17AM] Theone used command ::ref | Player rights = PLAYER	
[4/19/23 12:26AM] Theone used command ::train | Player rights = PLAYER	
[4/19/23 12:32AM] Theone used command ::train | Player rights = PLAYER	
[4/19/23 12:38AM] Theone used command ::veigar | Player rights = PLAYER	
[4/19/23 12:44AM] Theone used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:45AM] Theone used command ::ninetails | Player rights = PLAYER	
[4/19/23 01:10AM] Theone used command ::train | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:18AM] Theone used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:20AM] Theone used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:22AM] Theone used command ::shops | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:22AM] Theone used command ::shops | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:24AM] Theone used command ::Shop | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:24AM] Theone used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:56AM] Theone used command ::npx | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:56AM] Theone used command ::npv | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:56AM] Theone used command ::npc | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:16AM] Theone used command ::commands | Player rights = FORSAKEN_DONATOR	
[4/19/23 02:16AM] Theone used command ::shops | Player rights = FORSAKEN_DONATOR	
[4/19/23 02:16AM] Theone used command ::shop | Player rights = FORSAKEN_DONATOR	
[4/19/23 02:16AM] Theone used command ::shops | Player rights = FORSAKEN_DONATOR	
[4/19/23 02:16AM] Theone used command ::commands | Player rights = FORSAKEN_DONATOR	
