[4/21/23 06:52PM] Afknorman used command ::afk | Player rights = PLAYER	
[4/21/23 06:53PM] Afknorman used command ::afk | Player rights = PLAYER	
[4/22/23 04:24AM] Afknorman used command ::afk | Player rights = PLAYER	
[4/22/23 06:41PM] Afknorman used command ::afk | Player rights = PLAYER	
[4/22/23 09:06PM] Afknorman used command ::afk | Player rights = PLAYER	
[4/23/23 07:13AM] Afknorman used command ::afk | Player rights = PLAYER	
[4/26/23 05:51AM] Afknorman used command ::afk | Player rights = PLAYER	
[4/26/23 01:05PM] Afknorman used command ::afk | Player rights = PLAYER	
[4/26/23 04:59PM] Afknorman used command ::pos | Player rights = PLAYER	
[4/27/23 01:31PM] Afknorman used command ::afk | Player rights = PLAYER	
[4/27/23 04:44PM] Afknorman used command ::afk | Player rights = PLAYER	
