[4/15/23 11:49PM] Don Afk used command ::afk | Player rights = PLAYER	
[4/16/23 09:46PM] Don Afk used command ::Afk | Player rights = PLAYER	
[4/17/23 08:22PM] Don Afk used command ::afk | Player rights = PLAYER	
[4/17/23 10:48PM] Don Afk used command ::afk | Player rights = PLAYER	
[4/18/23 11:28AM] Don Afk used command ::afk | Player rights = PLAYER	
[4/18/23 09:10PM] Don Afk used command ::afk | Player rights = PLAYER	
[4/19/23 01:59AM] Don Afk used command ::afk | Player rights = PLAYER	
[4/19/23 01:59AM] Don Afk used command ::pos | Player rights = PLAYER	
[4/19/23 01:59AM] Don Afk used command ::pos | Player rights = PLAYER	
[4/19/23 11:10AM] Don Afk used command ::bank | Player rights = PLAYER	
[4/19/23 11:12AM] Don Afk used command ::afk | Player rights = PLAYER	
[4/19/23 09:57PM] Don Afk used command ::afk | Player rights = PLAYER	
[4/20/23 10:05PM] Don Afk used command ::afk | Player rights = PLAYER	
[4/21/23 10:09PM] Don Afk used command ::Afk | Player rights = PLAYER	
[4/23/23 02:25AM] Don Afk used command ::afk | Player rights = PLAYER	
[4/23/23 03:36AM] Don Afk used command ::afk | Player rights = PLAYER	
[4/23/23 04:07AM] Don Afk used command ::afk | Player rights = PLAYER	
[4/23/23 09:49AM] Don Afk used command ::afk | Player rights = PLAYER	
[4/26/23 01:12AM] Don Afk used command ::afk | Player rights = PLAYER	
