[4/15/23 12:32PM] Kill Me used command ::donate | Player rights = PLAYER	
[4/15/23 12:37PM] Kill Me used command ::store | Player rights = PLAYER	
[4/15/23 12:42PM] Kill Me used command ::claim | Player rights = PLAYER	
[4/15/23 12:45PM] Kill Me used command ::voteboss | Player rights = PLAYER	
[4/15/23 12:46PM] Kill Me used command ::training | Player rights = PLAYER	
[4/15/23 12:56PM] Kill Me used command ::home | Player rights = PLAYER	
[4/15/23 12:59PM] Kill Me used command ::veigar | Player rights = PLAYER	
[4/15/23 12:59PM] Kill Me used command ::home | Player rights = PLAYER	
[4/15/23 01:06PM] Kill Me used command ::vote | Player rights = CLERIC_DONATOR	
[4/15/23 01:07PM] Kill Me used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/15/23 01:12PM] Kill Me used command ::store | Player rights = CLERIC_DONATOR	
[4/15/23 01:21PM] Kill Me used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 01:23PM] Kill Me used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 01:28PM] Kill Me used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 01:31PM] Kill Me used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 01:58PM] Kill Me used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 01:59PM] Kill Me used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 02:02PM] Kill Me used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 02:02PM] Kill Me used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 02:15PM] Kill Me used command ::kills | Player rights = CLERIC_DONATOR	
[4/15/23 02:15PM] Kill Me used command ::kills | Player rights = CLERIC_DONATOR	
[4/15/23 02:20PM] Kill Me used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 02:29PM] Kill Me used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 02:29PM] Kill Me used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 02:29PM] Kill Me used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 02:30PM] Kill Me used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 05:08PM] Kill Me used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 05:28PM] Kill Me used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 05:29PM] Kill Me used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 05:31PM] Kill Me used command ::/the veteran bone struggle is real | Player rights = CLERIC_DONATOR	
[4/15/23 05:35PM] Kill Me used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 05:54PM] Kill Me used command ::ref walkchaos | Player rights = CLERIC_DONATOR	
[4/15/23 05:58PM] Kill Me used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 06:00PM] Kill Me used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Kill Me used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:55PM] Kill Me used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 03:56PM] Kill Me used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 03:56PM] Kill Me used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 03:58PM] Kill Me used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 03:58PM] Kill Me used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 03:58PM] Kill Me used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 03:58PM] Kill Me used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 04:23PM] Kill Me used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:24PM] Kill Me used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:31PM] Kill Me used command ::store | Player rights = CLERIC_DONATOR	
[4/16/23 04:34PM] Kill Me used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 04:34PM] Kill Me used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 04:34PM] Kill Me used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 04:35PM] Kill Me used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 04:36PM] Kill Me used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 04:36PM] Kill Me used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 04:41PM] Kill Me used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 04:53PM] Kill Me used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:54PM] Kill Me used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 05:02PM] Kill Me used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:06PM] Kill Me used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:07PM] Kill Me used command ::home | Player rights = TORMENTED_DONATOR	
[4/16/23 05:23PM] Kill Me used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 05:23PM] Kill Me used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 05:24PM] Kill Me used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 05:25PM] Kill Me used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 05:26PM] Kill Me used command ::home | Player rights = TORMENTED_DONATOR	
[4/16/23 05:46PM] Kill Me used command ::kills | Player rights = TORMENTED_DONATOR	
[4/16/23 05:52PM] Kill Me used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 05:54PM] Kill Me used command ::home | Player rights = TORMENTED_DONATOR	
[4/16/23 06:05PM] Kill Me used command ::home | Player rights = TORMENTED_DONATOR	
[4/16/23 06:07PM] Kill Me used command ::home | Player rights = TORMENTED_DONATOR	
[4/16/23 06:09PM] Kill Me used command ::home | Player rights = TORMENTED_DONATOR	
[4/16/23 06:23PM] Kill Me used command ::home | Player rights = TORMENTED_DONATOR	
