[4/19/23 11:45AM] Mex used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Mex used command ::ref | Player rights = PLAYER	
[4/19/23 11:46AM] Mex used command ::golden | Player rights = PLAYER	
[4/19/23 11:47AM] Mex used command ::golden | Player rights = PLAYER	
[4/19/23 11:49AM] Mex used command ::bank | Player rights = PLAYER	
[4/19/23 11:49AM] Mex used command ::bank | Player rights = PLAYER	
[4/19/23 11:56AM] Mex used command ::bank | Player rights = PLAYER	
[4/19/23 11:56AM] Mex used command ::bank | Player rights = PLAYER	
[4/19/23 11:57AM] Mex used command ::train | Player rights = PLAYER	
[4/19/23 12:06PM] Mex used command ::bank | Player rights = PLAYER	
[4/19/23 12:12PM] Mex used command ::train | Player rights = PLAYER	
[4/19/23 12:13PM] Mex used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Mex used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:15PM] Mex used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:16PM] Mex used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:16PM] Mex used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Mex used command ::meruem | Player rights = PLAYER	
[4/19/23 12:17PM] Mex used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Mex used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Mex used command ::golden | Player rights = PLAYER	
[4/19/23 12:23PM] Mex used command ::train | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43PM] Mex used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Mex used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:13PM] Mex used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:13PM] Mex used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Mex used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:15PM] Mex used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Mex used command ::ninetailsd | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Mex used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Mex used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Mex used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Mex used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:17PM] Mex used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:20PM] Mex used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:21PM] Mex used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:22PM] Mex used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:33PM] Mex used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:34PM] Mex used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:43PM] Mex used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:43PM] Mex used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:52PM] Mex used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:57PM] Mex used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:12PM] Mex used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:15PM] Mex used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Mex used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Mex used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:43PM] Mex used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:16PM] Mex used command ::medeum | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:16PM] Mex used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:16PM] Mex used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:16PM] Mex used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:16PM] Mex used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:16PM] Mex used command ::veigar | Player rights = GRACEFUL_DONATOR	
