[4/23/23 03:49AM] Tungoar used command ::shop | Player rights = PLAYER	
[4/23/23 03:50AM] Tungoar used command ::shops | Player rights = PLAYER	
[4/23/23 03:50AM] Tungoar used command ::market | Player rights = PLAYER	
[4/23/23 03:51AM] Tungoar used command ::train | Player rights = PLAYER	
[4/23/23 03:54AM] Tungoar used command ::home | Player rights = PLAYER	
[4/23/23 03:55AM] Tungoar used command ::train | Player rights = PLAYER	
[4/23/23 03:59AM] Tungoar used command ::train | Player rights = PLAYER	
[4/23/23 04:08AM] Tungoar used command ::home | Player rights = PLAYER	
[4/23/23 04:09AM] Tungoar used command ::train | Player rights = PLAYER	
[4/23/23 04:15AM] Tungoar used command ::upgrade | Player rights = PLAYER	
[4/23/23 04:15AM] Tungoar used command ::home | Player rights = PLAYER	
[4/23/23 04:50AM] Tungoar used command ::train | Player rights = PLAYER	
[4/23/23 05:59AM] Tungoar used command ::train | Player rights = PLAYER	
[4/23/23 06:04AM] Tungoar used command ::ninetails | Player rights = PLAYER	
[4/23/23 06:05AM] Tungoar used command ::meruem | Player rights = PLAYER	
