[4/20/23 06:17AM] Serenity used command ::npc ::REFERWR3CKEDYOU | Player rights = PLAYER	
[4/20/23 06:17AM] Serenity used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/20/23 06:19AM] Serenity used command ::veigar | Player rights = PLAYER	
[4/20/23 06:21AM] Serenity used command ::ninetails | Player rights = PLAYER	
[4/20/23 06:23AM] Serenity used command ::golden | Player rights = PLAYER	
[4/20/23 06:27AM] Serenity used command ::meruem | Player rights = PLAYER	
[4/20/23 06:27AM] Serenity used command ::meruem | Player rights = PLAYER	
[4/20/23 06:29AM] Serenity used command ::starter | Player rights = PLAYER	
[4/20/23 06:29AM] Serenity used command ::veigar | Player rights = PLAYER	
[4/20/23 06:30AM] Serenity used command ::pos | Player rights = PLAYER	
[4/20/23 06:33AM] Serenity used command ::vboss | Player rights = PLAYER	
[4/20/23 06:35AM] Serenity used command ::hideall | Player rights = PLAYER	
[4/20/23 06:36AM] Serenity used command ::starter | Player rights = PLAYER	
[4/20/23 06:49AM] Serenity used command ::veigar | Player rights = PLAYER	
[4/20/23 06:52AM] Serenity used command ::yellowevent | Player rights = PLAYER	
[4/20/23 06:53AM] Serenity used command ::yellowevent | Player rights = PLAYER	
[4/20/23 06:53AM] Serenity used command ::yellowboss | Player rights = PLAYER	
[4/20/23 06:53AM] Serenity used command ::wboss | Player rights = PLAYER	
[4/20/23 06:53AM] Serenity used command ::wboss | Player rights = PLAYER	
[4/20/23 07:18AM] Serenity used command ::veigar | Player rights = PLAYER	
[4/20/23 07:18AM] Serenity used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:19AM] Serenity used command ::veigar | Player rights = PLAYER	
[4/20/23 07:21AM] Serenity used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:23AM] Serenity used command ::meruem | Player rights = PLAYER	
[4/20/23 07:29AM] Serenity used command ::donate | Player rights = PLAYER	
[4/20/23 07:34AM] Serenity used command ::voteboss | Player rights = PLAYER	
[4/20/23 07:40AM] Serenity used command ::totem | Player rights = PLAYER	
[4/20/23 07:49AM] Serenity used command ::veigar | Player rights = PLAYER	
[4/20/23 07:51AM] Serenity used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:59AM] Serenity used command ::ref fpk merk | Player rights = PLAYER	
[4/22/23 03:40AM] Serenity used command ::vboss | Player rights = PLAYER	
[4/22/23 04:02AM] Serenity used command ::zones | Player rights = PLAYER	
[4/22/23 04:03AM] Serenity used command ::veigar | Player rights = PLAYER	
[4/22/23 04:34AM] Serenity used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:34AM] Serenity used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:35AM] Serenity used command ::::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:35AM] Serenity used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:01AM] Serenity used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:04AM] Serenity used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:04AM] Serenity used command ::ninetail | Player rights = GRACEFUL_DONATOR	
