[4/16/23 09:41AM] Mustve used command ::meruem | Player rights = PLAYER	
[4/16/23 09:42AM] Mustve used command ::veigar | Player rights = PLAYER	
[4/16/23 09:44AM] Mustve used command ::ninetails | Player rights = PLAYER	
[4/16/23 09:45AM] Mustve used command ::golden | Player rights = PLAYER	
[4/16/23 09:47AM] Mustve used command ::voteboss | Player rights = PLAYER	
[4/16/23 09:47AM] Mustve used command ::upgrade | Player rights = PLAYER	
[4/16/23 09:49AM] Mustve used command ::ninetails | Player rights = PLAYER	
[4/16/23 09:49AM] Mustve used command ::meruem | Player rights = PLAYER	
[4/16/23 09:52AM] Mustve used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Mustve used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:56AM] Mustve used command ::shops | Player rights = GRACEFUL_DONATOR	
