[4/18/23 09:33PM] Fellox used command ::ref | Player rights = PLAYER	
[4/18/23 09:41PM] Fellox used command ::ninetails | Player rights = PLAYER	
[4/18/23 09:41PM] Fellox used command ::veigar | Player rights = PLAYER	
[4/18/23 09:43PM] Fellox used command ::ninetails | Player rights = PLAYER	
[4/18/23 09:46PM] Fellox used command ::train | Player rights = PLAYER	
[4/18/23 09:59PM] Fellox used command ::home | Player rights = PLAYER	
[4/18/23 09:59PM] Fellox used command ::alttar | Player rights = PLAYER	
[4/18/23 09:59PM] Fellox used command ::altar | Player rights = PLAYER	
[4/18/23 10:01PM] Fellox used command ::shops | Player rights = PLAYER	
[4/18/23 10:05PM] Fellox used command ::rain | Player rights = PLAYER	
[4/18/23 10:05PM] Fellox used command ::train | Player rights = PLAYER	
[4/18/23 10:07PM] Fellox used command ::npckills | Player rights = PLAYER	
[4/18/23 10:08PM] Fellox used command ::slayer | Player rights = PLAYER	
[4/18/23 10:08PM] Fellox used command ::train | Player rights = PLAYER	
[4/18/23 10:09PM] Fellox used command ::home | Player rights = PLAYER	
[4/18/23 10:09PM] Fellox used command ::train | Player rights = PLAYER	
[4/18/23 10:11PM] Fellox used command ::veigar | Player rights = PLAYER	
[4/18/23 10:15PM] Fellox used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:15PM] Fellox used command ::voteboss | Player rights = PLAYER	
[4/18/23 10:15PM] Fellox used command ::vote | Player rights = PLAYER	
[4/18/23 10:17PM] Fellox used command ::claimvote | Player rights = PLAYER	
[4/18/23 10:17PM] Fellox used command ::claimvote | Player rights = PLAYER	
[4/18/23 10:17PM] Fellox used command ::claim | Player rights = PLAYER	
[4/18/23 10:17PM] Fellox used command ::reward1 | Player rights = PLAYER	
[4/18/23 10:18PM] Fellox used command ::reward 1 | Player rights = PLAYER	
[4/18/23 10:21PM] Fellox used command ::pos | Player rights = PLAYER	
[4/18/23 10:22PM] Fellox used command ::train | Player rights = PLAYER	
[4/18/23 10:22PM] Fellox used command ::home | Player rights = PLAYER	
[4/18/23 10:42PM] Fellox used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:45PM] Fellox used command ::meruem | Player rights = PLAYER	
[4/18/23 10:49PM] Fellox used command ::golden | Player rights = PLAYER	
[4/18/23 10:52PM] Fellox used command ::home | Player rights = PLAYER	
[4/18/23 11:05PM] Fellox used command ::veigar | Player rights = PLAYER	
[4/18/23 11:08PM] Fellox used command ::home | Player rights = PLAYER	
[4/18/23 11:22PM] Fellox used command ::dr | Player rights = PLAYER	
[4/18/23 11:24PM] Fellox used command ::train | Player rights = PLAYER	
[4/18/23 11:35PM] Fellox used command ::veigar | Player rights = PLAYER	
[4/18/23 11:38PM] Fellox used command ::ninetails | Player rights = PLAYER	
[4/18/23 11:50PM] Fellox used command ::home | Player rights = PLAYER	
[4/18/23 11:52PM] Fellox used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:56PM] Fellox used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:58PM] Fellox used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:03AM] Fellox used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:05AM] Fellox used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:09AM] Fellox used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:29AM] Fellox used command ::hom3 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:29AM] Fellox used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:34AM] Fellox used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 12:35AM] Fellox used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 12:35AM] Fellox used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 12:44AM] Fellox used command ::slayer | Player rights = TORMENTED_DONATOR	
