[4/20/23 09:26AM] V1 used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:17AM] V1 used command ::reward 1 1 | Player rights = PLAYER	
[4/20/23 10:19AM] V1 used command ::vboss | Player rights = PLAYER	
[4/20/23 10:20AM] V1 used command ::veigar | Player rights = PLAYER	
[4/20/23 10:22AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:24AM] V1 used command ::veigar | Player rights = PLAYER	
[4/20/23 10:25AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:26AM] V1 used command ::veigar | Player rights = PLAYER	
[4/20/23 10:28AM] V1 used command ::::meruem | Player rights = PLAYER	
[4/20/23 10:28AM] V1 used command ::meruem | Player rights = PLAYER	
[4/20/23 10:30AM] V1 used command ::golden | Player rights = PLAYER	
[4/20/23 10:34AM] V1 used command ::veigar | Player rights = PLAYER	
[4/20/23 10:38AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:42AM] V1 used command ::meruem | Player rights = PLAYER	
[4/20/23 10:44AM] V1 used command ::meruem | Player rights = PLAYER	
[4/20/23 10:47AM] V1 used command ::vboss | Player rights = PLAYER	
[4/20/23 10:49AM] V1 used command ::veigar | Player rights = PLAYER	
[4/20/23 10:54AM] V1 used command ::vboss | Player rights = PLAYER	
[4/20/23 11:19AM] V1 used command ::veigar | Player rights = PLAYER	
[4/20/23 11:21AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:22AM] V1 used command ::meruem | Player rights = PLAYER	
[4/20/23 11:24AM] V1 used command ::afk | Player rights = PLAYER	
[4/20/23 11:28AM] V1 used command ::afk | Player rights = PLAYER	
[4/20/23 11:32PM] V1 used command ::veigar | Player rights = PLAYER	
[4/20/23 11:34PM] V1 used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:35PM] V1 used command ::golden | Player rights = PLAYER	
[4/21/23 12:02AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 12:32AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 12:34AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 12:36AM] V1 used command ::mereum | Player rights = PLAYER	
[4/21/23 12:36AM] V1 used command ::meruem | Player rights = PLAYER	
[4/21/23 12:42AM] V1 used command ::vb | Player rights = PLAYER	
[4/21/23 12:42AM] V1 used command ::vboss | Player rights = PLAYER	
[4/21/23 01:32AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 01:35AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:27AM] V1 used command ::boss | Player rights = PLAYER	
[4/21/23 02:27AM] V1 used command ::vboss | Player rights = PLAYER	
[4/21/23 03:02AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 03:32AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 03:35AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 04:03AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 04:23AM] V1 used command ::Vboss | Player rights = PLAYER	
[4/21/23 04:29AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 04:36AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 04:38AM] V1 used command ::meruem | Player rights = PLAYER	
[4/21/23 05:36AM] V1 used command ::golden | Player rights = PLAYER	
[4/21/23 06:03AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 06:34AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 06:35AM] V1 used command ::meruem | Player rights = PLAYER	
[4/21/23 06:38AM] V1 used command ::Vboss | Player rights = PLAYER	
[4/21/23 07:31AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 07:34AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 07:57AM] V1 used command ::vboss | Player rights = PLAYER	
[4/21/23 08:03AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 08:28AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 08:30AM] V1 used command ::meruem | Player rights = PLAYER	
[4/21/23 08:31AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 08:32AM] V1 used command ::golden | Player rights = PLAYER	
[4/21/23 08:33AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 08:33AM] V1 used command ::vboss | Player rights = PLAYER	
[4/21/23 08:34AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 08:37AM] V1 used command ::vboss | Player rights = PLAYER	
[4/21/23 08:39AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 08:40AM] V1 used command ::vboss | Player rights = PLAYER	
[4/21/23 08:44AM] V1 used command ::meruem | Player rights = PLAYER	
[4/21/23 09:03AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 09:34AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 09:54AM] V1 used command ::vboss | Player rights = PLAYER	
[4/21/23 09:54AM] V1 used command ::reward 1 1 | Player rights = PLAYER	
[4/21/23 09:55AM] V1 used command ::reward 1 1 | Player rights = PLAYER	
[4/21/23 10:03AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 10:35AM] V1 used command ::meruem | Player rights = PLAYER	
[4/21/23 11:02AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 11:32AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:32AM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 11:34AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:35AM] V1 used command ::golden | Player rights = PLAYER	
[4/21/23 11:35AM] V1 used command ::golden | Player rights = PLAYER	
[4/21/23 11:36AM] V1 used command ::golden | Player rights = PLAYER	
[4/21/23 12:02PM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 12:05PM] V1 used command ::vboss | Player rights = PLAYER	
[4/21/23 01:08PM] V1 used command ::vboss | Player rights = PLAYER	
[4/21/23 09:32PM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 09:34PM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 09:55PM] V1 used command ::vboss | Player rights = PLAYER	
[4/21/23 10:01PM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 10:30PM] V1 used command ::veigar | Player rights = PLAYER	
[4/21/23 10:33PM] V1 used command ::ninetails | Player rights = PLAYER	
[4/21/23 10:34PM] V1 used command ::meruem | Player rights = PLAYER	
[4/22/23 01:33AM] V1 used command ::veigar | Player rights = PLAYER	
[4/22/23 01:34AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/22/23 01:45AM] V1 used command ::vboss | Player rights = PLAYER	
[4/22/23 02:32AM] V1 used command ::veigar | Player rights = PLAYER	
[4/22/23 02:34AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/22/23 02:36AM] V1 used command ::meruem | Player rights = PLAYER	
[4/22/23 02:37AM] V1 used command ::golden | Player rights = PLAYER	
[4/22/23 04:33AM] V1 used command ::vegiar | Player rights = PLAYER	
[4/22/23 04:33AM] V1 used command ::veigar | Player rights = PLAYER	
[4/22/23 04:34AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/22/23 04:35AM] V1 used command ::meruem | Player rights = PLAYER	
[4/22/23 05:03AM] V1 used command ::veigar | Player rights = PLAYER	
[4/22/23 05:33AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/22/23 05:34AM] V1 used command ::golden | Player rights = PLAYER	
[4/22/23 05:52AM] V1 used command ::vboss | Player rights = PLAYER	
[4/22/23 06:32AM] V1 used command ::veigar | Player rights = PLAYER	
[4/22/23 06:34AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/22/23 06:35AM] V1 used command ::meruem | Player rights = PLAYER	
[4/22/23 07:36AM] V1 used command ::vBOSS | Player rights = PLAYER	
[4/22/23 08:32AM] V1 used command ::veigar | Player rights = PLAYER	
[4/22/23 08:33AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/22/23 08:34AM] V1 used command ::meruem | Player rights = PLAYER	
[4/22/23 08:34AM] V1 used command ::golden | Player rights = PLAYER	
[4/22/23 08:37AM] V1 used command ::vboss | Player rights = PLAYER	
[4/22/23 10:32AM] V1 used command ::veigar | Player rights = PLAYER	
[4/22/23 10:33AM] V1 used command ::ninetails | Player rights = PLAYER	
[4/22/23 10:34AM] V1 used command ::meruem | Player rights = PLAYER	
[4/22/23 10:35AM] V1 used command ::veigar | Player rights = PLAYER	
