[4/20/23 02:34AM] Jester used command ::train | Player rights = PLAYER	
[4/20/23 03:02AM] Jester used command ::ref | Player rights = PLAYER	
[4/20/23 03:08AM] Jester used command ::train | Player rights = PLAYER	
[4/20/23 03:14AM] Jester used command ::bank | Player rights = PLAYER	
[4/20/23 03:14AM] Jester used command ::home | Player rights = PLAYER	
[4/20/23 03:14AM] Jester used command ::train | Player rights = PLAYER	
[4/20/23 03:18AM] Jester used command ::veigar | Player rights = PLAYER	
[4/20/23 03:21AM] Jester used command ::meruem | Player rights = PLAYER	
[4/20/23 03:21AM] Jester used command ::ninetails | Player rights = PLAYER	
[4/20/23 03:22AM] Jester used command ::meruem | Player rights = PLAYER	
[4/20/23 03:23AM] Jester used command ::vote | Player rights = PLAYER	
[4/20/23 03:24AM] Jester used command ::gold | Player rights = PLAYER	
[4/20/23 03:24AM] Jester used command ::golden | Player rights = PLAYER	
[4/20/23 03:26AM] Jester used command ::rewward 1 all | Player rights = PLAYER	
[4/20/23 03:26AM] Jester used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 03:26AM] Jester used command ::vboss | Player rights = PLAYER	
[4/20/23 03:29AM] Jester used command ::home | Player rights = PLAYER	
[4/20/23 03:29AM] Jester used command ::train | Player rights = PLAYER	
[4/20/23 03:30AM] Jester used command ::train | Player rights = PLAYER	
[4/20/23 03:33AM] Jester used command ::train | Player rights = PLAYER	
[4/20/23 03:34AM] Jester used command ::train | Player rights = PLAYER	
[4/20/23 03:38AM] Jester used command ::home | Player rights = PLAYER	
[4/20/23 03:41AM] Jester used command ::teleport | Player rights = PLAYER	
[4/20/23 03:41AM] Jester used command ::boss | Player rights = PLAYER	
[4/20/23 03:41AM] Jester used command ::monster | Player rights = PLAYER	
[4/20/23 03:49AM] Jester used command ::veigar | Player rights = PLAYER	
[4/20/23 03:50AM] Jester used command ::elo | Player rights = PLAYER	
[4/20/23 03:51AM] Jester used command ::hound | Player rights = PLAYER	
[4/20/23 03:59AM] Jester used command ::home | Player rights = PLAYER	
[4/20/23 04:07AM] Jester used command ::elo | Player rights = PLAYER	
[4/20/23 04:16AM] Jester used command ::home | Player rights = PLAYER	
[4/20/23 04:19AM] Jester used command ::veigar | Player rights = PLAYER	
[4/20/23 04:22AM] Jester used command ::ninetails | Player rights = PLAYER	
[4/20/23 04:35AM] Jester used command ::elo | Player rights = PLAYER	
[4/20/23 04:49AM] Jester used command ::veigar | Player rights = PLAYER	
[4/20/23 04:51AM] Jester used command ::home | Player rights = PLAYER	
[4/20/23 05:19AM] Jester used command ::veigar | Player rights = PLAYER	
[4/20/23 05:19AM] Jester used command ::max | Player rights = PLAYER	
[4/20/23 05:21AM] Jester used command ::home | Player rights = PLAYER	
