[4/18/23 05:57AM] Plasmagamer used command ::train | Player rights = PLAYER	
[4/18/23 06:01AM] Plasmagamer used command ::home | Player rights = PLAYER	
[4/18/23 06:03AM] Plasmagamer used command ::teleport | Player rights = PLAYER	
[4/18/23 06:03AM] Plasmagamer used command ::train | Player rights = PLAYER	
[4/18/23 06:08AM] Plasmagamer used command ::bank | Player rights = PLAYER	
[4/18/23 06:08AM] Plasmagamer used command ::bank | Player rights = PLAYER	
[4/18/23 06:08AM] Plasmagamer used command ::home | Player rights = PLAYER	
[4/18/23 06:09AM] Plasmagamer used command ::vote | Player rights = PLAYER	
[4/18/23 06:11AM] Plasmagamer used command ::claimvotes | Player rights = PLAYER	
[4/18/23 06:11AM] Plasmagamer used command ::voted | Player rights = PLAYER	
[4/18/23 06:11AM] Plasmagamer used command ::commands | Player rights = PLAYER	
[4/18/23 06:11AM] Plasmagamer used command ::voted | Player rights = PLAYER	
[4/18/23 06:12AM] Plasmagamer used command ::veigar | Player rights = PLAYER	
[4/18/23 06:12AM] Plasmagamer used command ::home | Player rights = PLAYER	
[4/18/23 06:12AM] Plasmagamer used command ::claimvote | Player rights = PLAYER	
[4/18/23 06:13AM] Plasmagamer used command ::claimvote | Player rights = PLAYER	
[4/18/23 06:13AM] Plasmagamer used command ::claim | Player rights = PLAYER	
[4/18/23 06:13AM] Plasmagamer used command ::claim vote | Player rights = PLAYER	
[4/18/23 06:13AM] Plasmagamer used command ::voted | Player rights = PLAYER	
[4/18/23 06:13AM] Plasmagamer used command ::claimvote | Player rights = PLAYER	
[4/18/23 06:13AM] Plasmagamer used command ::pos | Player rights = PLAYER	
[4/18/23 06:14AM] Plasmagamer used command ::vote | Player rights = PLAYER	
[4/18/23 06:14AM] Plasmagamer used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 06:15AM] Plasmagamer used command ::train | Player rights = PLAYER	
[4/18/23 06:16AM] Plasmagamer used command ::train | Player rights = PLAYER	
[4/18/23 06:18AM] Plasmagamer used command ::dai::commands | Player rights = PLAYER	
[4/18/23 06:18AM] Plasmagamer used command ::commands | Player rights = PLAYER	
[4/18/23 06:23AM] Plasmagamer used command ::voteboss | Player rights = PLAYER	
[4/18/23 06:24AM] Plasmagamer used command ::train | Player rights = PLAYER	
[4/18/23 06:26AM] Plasmagamer used command ::vboss | Player rights = PLAYER	
[4/18/23 06:29AM] Plasmagamer used command ::train | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:29AM] Plasmagamer used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:31AM] Plasmagamer used command ::train | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:33AM] Plasmagamer used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:36AM] Plasmagamer used command ::train | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:38AM] Plasmagamer used command ::h | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:38AM] Plasmagamer used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41AM] Plasmagamer used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41AM] Plasmagamer used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41AM] Plasmagamer used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41AM] Plasmagamer used command ::inv | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41AM] Plasmagamer used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:05AM] Plasmagamer used command ::train | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:12AM] Plasmagamer used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:17AM] Plasmagamer used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:21AM] Plasmagamer used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:21AM] Plasmagamer used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:21AM] Plasmagamer used command ::reward 1all | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:32AM] Plasmagamer used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:35AM] Plasmagamer used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:49AM] Plasmagamer used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:49AM] Plasmagamer used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:49AM] Plasmagamer used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:49AM] Plasmagamer used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:49AM] Plasmagamer used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:50AM] Plasmagamer used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:53AM] Plasmagamer used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:53AM] Plasmagamer used command ::train | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:56AM] Plasmagamer used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:57AM] Plasmagamer used command ::train | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:01AM] Plasmagamer used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:02AM] Plasmagamer used command ::train | Player rights = GRACEFUL_DONATOR	
