[4/15/23 09:59AM] Vibes used command ::veigar | Player rights = PLAYER	
[4/15/23 09:59AM] Vibes used command ::train | Player rights = PLAYER	
[4/15/23 10:00AM] Vibes used command ::Ref | Player rights = PLAYER	
[4/15/23 10:01AM] Vibes used command ::ref | Player rights = PLAYER	
[4/15/23 10:02AM] Vibes used command ::train | Player rights = PLAYER	
[4/15/23 10:02AM] Vibes used command ::train | Player rights = PLAYER	
[4/15/23 10:07AM] Vibes used command ::dailt | Player rights = PLAYER	
[4/15/23 10:07AM] Vibes used command ::daily | Player rights = PLAYER	
[4/15/23 10:07AM] Vibes used command ::vote | Player rights = PLAYER	
[4/15/23 10:08AM] Vibes used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 10:09AM] Vibes used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 10:09AM] Vibes used command ::reward 1 | Player rights = PLAYER	
[4/15/23 10:12AM] Vibes used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 10:15AM] Vibes used command ::train | Player rights = PLAYER	
[4/15/23 10:24AM] Vibes used command ::pray | Player rights = PLAYER	
[4/15/23 10:24AM] Vibes used command ::prayer | Player rights = PLAYER	
[4/15/23 10:24AM] Vibes used command ::commands | Player rights = PLAYER	
[4/15/23 10:25AM] Vibes used command ::train2 | Player rights = PLAYER	
[4/15/23 10:25AM] Vibes used command ::train2 | Player rights = PLAYER	
[4/15/23 10:25AM] Vibes used command ::perks | Player rights = PLAYER	
[4/15/23 10:58AM] Vibes used command ::viegar | Player rights = PLAYER	
[4/15/23 10:59AM] Vibes used command ::veigar | Player rights = PLAYER	
[4/15/23 11:29AM] Vibes used command ::veigar | Player rights = PLAYER	
[4/15/23 11:29AM] Vibes used command ::hideall | Player rights = PLAYER	
[4/15/23 11:43AM] Vibes used command ::perks | Player rights = PLAYER	
[4/15/23 11:47AM] Vibes used command ::pos | Player rights = PLAYER	
[4/15/23 11:57AM] Vibes used command ::veigar | Player rights = PLAYER	
[4/15/23 12:29PM] Vibes used command ::veigar | Player rights = PLAYER	
[4/15/23 12:58PM] Vibes used command ::veigar | Player rights = PLAYER	
