[4/17/23 09:16AM] Star used command ::vote | Player rights = PLAYER	
[4/17/23 09:17AM] Star used command ::reward 1 | Player rights = PLAYER	
[4/17/23 09:17AM] Star used command ::claimvote | Player rights = PLAYER	
[4/17/23 09:17AM] Star used command ::reward 1 | Player rights = PLAYER	
[4/17/23 09:23AM] Star used command ::collector | Player rights = PLAYER	
[4/17/23 09:23AM] Star used command ::collection | Player rights = PLAYER	
[4/17/23 09:25AM] Star used command ::elo | Player rights = PLAYER	
[4/17/23 09:29AM] Star used command ::elo | Player rights = PLAYER	
[4/17/23 09:35AM] Star used command ::collection | Player rights = PLAYER	
[4/17/23 09:37AM] Star used command ::veig | Player rights = PLAYER	
[4/17/23 09:42AM] Star used command ::ninetails | Player rights = PLAYER	
[4/17/23 09:44AM] Star used command ::meruem | Player rights = PLAYER	
[4/17/23 09:45AM] Star used command ::golden | Player rights = PLAYER	
[4/17/23 10:02AM] Star used command ::bank | Player rights = PLAYER	
[4/17/23 10:09AM] Star used command ::veigar | Player rights = PLAYER	
[4/17/23 10:33AM] Star used command ::ninetails | Player rights = PLAYER	
[4/17/23 10:34AM] Star used command ::meruem | Player rights = PLAYER	
[4/17/23 10:35AM] Star used command ::golden | Player rights = PLAYER	
[4/17/23 10:35AM] Star used command ::golden | Player rights = PLAYER	
[4/17/23 10:46AM] Star used command ::fpk | Player rights = PLAYER	
[4/17/23 10:47AM] Star used command ::ref fpk merk | Player rights = PLAYER	
[4/17/23 11:02AM] Star used command ::veigar | Player rights = PLAYER	
[4/17/23 11:03AM] Star used command ::meruem | Player rights = PLAYER	
[4/17/23 11:04AM] Star used command ::progression | Player rights = PLAYER	
[4/17/23 11:04AM] Star used command ::progression | Player rights = PLAYER	
[4/17/23 11:04AM] Star used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:04AM] Star used command ::tasks | Player rights = PLAYER	
[4/17/23 11:05AM] Star used command ::golden | Player rights = PLAYER	
[4/17/23 11:05AM] Star used command ::golden | Player rights = PLAYER	
[4/17/23 11:06AM] Star used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:06AM] Star used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:06AM] Star used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:07AM] Star used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Star used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Star used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Star used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Star used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:32AM] Star used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Star used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Star used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:42AM] Star used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:42AM] Star used command ::upg | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:43AM] Star used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:45AM] Star used command ::train | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:45AM] Star used command ::train | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:45AM] Star used command ::train | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:46AM] Star used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Star used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Star used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Star used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Star used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Star used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:58AM] Star used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:59AM] Star used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:00PM] Star used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Star used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:03PM] Star used command ::players | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:04PM] Star used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:05PM] Star used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Star used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Star used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Star used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:12PM] Star used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Star used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Star used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Star used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Star used command ::muerum | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Star used command ::merum | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Star used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Star used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Star used command ::yell yeeeee | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Star used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:20PM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:22PM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:26PM] Star used command ::players | Player rights = CLERIC_DONATOR	
[4/17/23 12:30PM] Star used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:31PM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Star used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Star used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Star used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Star used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:45PM] Star used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 12:45PM] Star used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:58PM] Star used command ::store | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Star used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:03PM] Star used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:03PM] Star used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:04PM] Star used command ::memuer | Player rights = CLERIC_DONATOR	
[4/17/23 01:04PM] Star used command ::meryen | Player rights = CLERIC_DONATOR	
[4/17/23 01:04PM] Star used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:08PM] Star used command ::tome | Player rights = CLERIC_DONATOR	
[4/17/23 01:08PM] Star used command ::tome | Player rights = CLERIC_DONATOR	
[4/17/23 01:09PM] Star used command ::tome | Player rights = CLERIC_DONATOR	
[4/17/23 01:11PM] Star used command ::log | Player rights = CLERIC_DONATOR	
[4/17/23 01:11PM] Star used command ::progresson | Player rights = CLERIC_DONATOR	
[4/17/23 01:11PM] Star used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 01:21PM] Star used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 07:05AM] Star used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 07:07AM] Star used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 07:07AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:12AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:13AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:20AM] Star used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 07:21AM] Star used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:21AM] Star used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:23AM] Star used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:25AM] Star used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:27AM] Star used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 07:27AM] Star used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:27AM] Star used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 07:30AM] Star used command ::b ank | Player rights = CLERIC_DONATOR	
[4/19/23 07:33AM] Star used command ::collection | Player rights = CLERIC_DONATOR	
[4/19/23 07:34AM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:46AM] Star used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:48AM] Star used command ::nine | Player rights = CLERIC_DONATOR	
[4/19/23 07:48AM] Star used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:50AM] Star used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:50AM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:52AM] Star used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 07:54AM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 08:03AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:05AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:11AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:12AM] Star used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 08:14AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:14AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:15AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:16AM] Star used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:16AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:19AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:23AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:24AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:26AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:28AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:28AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:30AM] Star used command ::yellowzone | Player rights = CLERIC_DONATOR	
[4/19/23 08:30AM] Star used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:31AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:35AM] Star used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:46AM] Star used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:47AM] Star used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:49AM] Star used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 08:49AM] Star used command ::Meruem | Player rights = CLERIC_DONATOR	
[4/19/23 08:51AM] Star used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 08:54AM] Star used command ::tasks | Player rights = CLERIC_DONATOR	
