[4/15/23 08:55AM] Gpello used command ::train | Player rights = PLAYER	
[4/15/23 08:59AM] Gpello used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Gpello used command ::train | Player rights = PLAYER	
[4/15/23 09:29AM] Gpello used command ::veigar | Player rights = PLAYER	
[4/15/23 09:30AM] Gpello used command ::train | Player rights = PLAYER	
[4/15/23 09:33AM] Gpello used command ::walkchaos | Player rights = PLAYER	
[4/15/23 09:36AM] Gpello used command ::pos | Player rights = PLAYER	
[4/15/23 09:36AM] Gpello used command ::pos | Player rights = PLAYER	
[4/15/23 09:37AM] Gpello used command ::home | Player rights = PLAYER	
[4/15/23 09:39AM] Gpello used command ::ref | Player rights = PLAYER	
[4/15/23 09:41AM] Gpello used command ::train | Player rights = PLAYER	
[4/15/23 09:58AM] Gpello used command ::coll | Player rights = PLAYER	
[4/15/23 09:58AM] Gpello used command ::clog | Player rights = PLAYER	
[4/15/23 09:58AM] Gpello used command ::home | Player rights = PLAYER	
[4/15/23 10:00AM] Gpello used command ::teleport | Player rights = PLAYER	
[4/15/23 10:02AM] Gpello used command ::clog | Player rights = PLAYER	
[4/15/23 10:05AM] Gpello used command ::teleport | Player rights = PLAYER	
[4/15/23 10:08AM] Gpello used command ::kc | Player rights = PLAYER	
[4/15/23 10:08AM] Gpello used command ::log | Player rights = PLAYER	
[4/15/23 10:28AM] Gpello used command ::home | Player rights = PLAYER	
[4/15/23 10:29AM] Gpello used command ::veigar | Player rights = PLAYER	
[4/15/23 10:29AM] Gpello used command ::teleport | Player rights = PLAYER	
[4/15/23 10:52AM] Gpello used command ::teleport | Player rights = PLAYER	
[4/15/23 10:58AM] Gpello used command ::veigar | Player rights = PLAYER	
[4/15/23 11:29AM] Gpello used command ::veigar | Player rights = PLAYER	
[4/15/23 12:51PM] Gpello used command ::afk | Player rights = PLAYER	
[4/15/23 12:51PM] Gpello used command ::shops | Player rights = PLAYER	
[4/15/23 12:51PM] Gpello used command ::shops | Player rights = PLAYER	
[4/15/23 12:51PM] Gpello used command ::shop | Player rights = PLAYER	
[4/15/23 12:51PM] Gpello used command ::home | Player rights = PLAYER	
[4/15/23 12:51PM] Gpello used command ::home | Player rights = PLAYER	
[4/15/23 12:53PM] Gpello used command ::shops | Player rights = PLAYER	
[4/15/23 12:54PM] Gpello used command ::afk | Player rights = PLAYER	
[4/15/23 08:28PM] Gpello used command ::veigar | Player rights = PLAYER	
[4/15/23 08:31PM] Gpello used command ::prayer | Player rights = PLAYER	
[4/15/23 08:31PM] Gpello used command ::altar | Player rights = PLAYER	
[4/15/23 08:31PM] Gpello used command ::home | Player rights = PLAYER	
[4/15/23 08:31PM] Gpello used command ::home | Player rights = PLAYER	
