[4/17/23 12:44AM] Er1k used command ::ref | Player rights = PLAYER	
[4/17/23 12:46AM] Er1k used command ::Train | Player rights = PLAYER	
[4/17/23 12:49AM] Er1k used command ::Train | Player rights = PLAYER	
[4/17/23 12:58AM] Er1k used command ::home | Player rights = PLAYER	
[4/17/23 12:58AM] Er1k used command ::vote | Player rights = PLAYER	
[4/17/23 12:59AM] Er1k used command ::shops | Player rights = PLAYER	
[4/17/23 01:02AM] Er1k used command ::voteboss | Player rights = PLAYER	
[4/17/23 01:02AM] Er1k used command ::claimvote | Player rights = PLAYER	
[4/17/23 01:02AM] Er1k used command ::claimvotes | Player rights = PLAYER	
[4/17/23 01:02AM] Er1k used command ::vote | Player rights = PLAYER	
[4/17/23 01:02AM] Er1k used command ::claimvote | Player rights = PLAYER	
[4/17/23 01:03AM] Er1k used command ::voted | Player rights = PLAYER	
[4/17/23 01:03AM] Er1k used command ::claim | Player rights = PLAYER	
[4/17/23 01:03AM] Er1k used command ::commands | Player rights = PLAYER	
[4/17/23 01:03AM] Er1k used command ::voted | Player rights = PLAYER	
[4/17/23 01:05AM] Er1k used command ::claimvotes | Player rights = PLAYER	
[4/17/23 01:06AM] Er1k used command ::claimvote | Player rights = PLAYER	
[4/17/23 01:06AM] Er1k used command ::voted | Player rights = PLAYER	
[4/17/23 01:06AM] Er1k used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 01:07AM] Er1k used command ::donate | Player rights = PLAYER	
[4/17/23 01:10AM] Er1k used command ::veigar | Player rights = PLAYER	
[4/17/23 01:39AM] Er1k used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:40AM] Er1k used command ::benefits | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:40AM] Er1k used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:41AM] Er1k used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:42AM] Er1k used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:09AM] Er1k used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:39AM] Er1k used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:41AM] Er1k used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:42AM] Er1k used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:43AM] Er1k used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:09AM] Er1k used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42AM] Er1k used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:43AM] Er1k used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:44AM] Er1k used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:53AM] Er1k used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:54AM] Er1k used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:11AM] Er1k used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:16AM] Er1k used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41AM] Er1k used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:42AM] Er1k used command ::ninetails | Player rights = GRACEFUL_DONATOR	
