[4/15/23 02:52PM] Jipy used command ::empty | Player rights = DEVELOPER	
[4/15/23 02:52PM] Jipy used command ::find owner's | Player rights = DEVELOPER	
[4/15/23 02:52PM] Jipy used command ::item 22240 | Player rights = DEVELOPER	
[4/15/23 02:52PM] Jipy used command ::empty | Player rights = DEVELOPER	
[4/15/23 02:52PM] Jipy used command ::item 22155 | Player rights = DEVELOPER	
[4/15/23 02:53PM] Jipy used command ::item 22152 | Player rights = DEVELOPER	
[4/15/23 02:53PM] Jipy used command ::item 22153 | Player rights = DEVELOPER	
[4/15/23 02:53PM] Jipy used command ::item 22154 | Player rights = DEVELOPER	
[4/15/23 02:53PM] Jipy used command ::item 22158 | Player rights = DEVELOPER	
[4/15/23 02:53PM] Jipy used command ::item 22159 | Player rights = DEVELOPER	
[4/15/23 02:53PM] Jipy used command ::item 22160 | Player rights = DEVELOPER	
[4/15/23 02:53PM] Jipy used command ::master | Player rights = DEVELOPER	
[4/15/23 02:53PM] Jipy used command ::find wings | Player rights = DEVELOPER	
[4/15/23 02:53PM] Jipy used command ::item 23068 | Player rights = DEVELOPER	
[4/15/23 02:54PM] Jipy used command ::empty | Player rights = DEVELOPER	
[4/15/23 02:54PM] Jipy used command ::find owner's | Player rights = DEVELOPER	
[4/15/23 02:54PM] Jipy used command ::item 22238 | Player rights = DEVELOPER	
[4/15/23 02:54PM] Jipy used command ::item 22239 | Player rights = DEVELOPER	
[4/15/23 02:54PM] Jipy used command ::find halo | Player rights = DEVELOPER	
[4/15/23 02:54PM] Jipy used command ::empty | Player rights = DEVELOPER	
[4/15/23 02:55PM] Jipy used command ::find owner's cape | Player rights = DEVELOPER	
[4/15/23 02:55PM] Jipy used command ::item 22109 | Player rights = DEVELOPER	
[4/15/23 02:55PM] Jipy used command ::find owner's | Player rights = DEVELOPER	
[4/15/23 02:55PM] Jipy used command ::find collect | Player rights = DEVELOPER	
[4/15/23 02:55PM] Jipy used command ::item 18888 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22214 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22215 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22216 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22217 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22218 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22219 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22220 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22221 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22223 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22222 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22224 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22225 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22226 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22227 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22228 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 22229 | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::random | Player rights = DEVELOPER	
[4/15/23 02:56PM] Jipy used command ::item 8788 3 | Player rights = DEVELOPER	
[4/15/23 02:57PM] Jipy used command ::bank | Player rights = DEVELOPER	
[4/15/23 02:57PM] Jipy used command ::item 2736 5- | Player rights = DEVELOPER	
[4/15/23 02:57PM] Jipy used command ::item 2736 50 | Player rights = DEVELOPER	
[4/15/23 02:57PM] Jipy used command ::item 15003 20 | Player rights = DEVELOPER	
[4/15/23 02:57PM] Jipy used command ::item 15002 20 | Player rights = DEVELOPER	
[4/15/23 02:57PM] Jipy used command ::item 15004 20 | Player rights = DEVELOPER	
[4/15/23 02:57PM] Jipy used command ::item 20489 20 | Player rights = DEVELOPER	
[4/15/23 02:57PM] Jipy used command ::item 20491 20 | Player rights = DEVELOPER	
[4/15/23 02:57PM] Jipy used command ::item 20490 20 | Player rights = DEVELOPER	
[4/15/23 02:57PM] Jipy used command ::item 23002 5 | Player rights = DEVELOPER	
[4/15/23 02:57PM] Jipy used command ::bank | Player rights = DEVELOPER	
[4/15/23 02:58PM] Jipy used command ::bank | Player rights = DEVELOPER	
[4/15/23 02:58PM] Jipy used command ::find goodiebag | Player rights = DEVELOPER	
[4/15/23 02:58PM] Jipy used command ::item 3578 2 | Player rights = DEVELOPER	
[4/15/23 02:59PM] Jipy used command ::bank | Player rights = YOUTUBER	
[4/15/23 02:59PM] Jipy used command ::bank | Player rights = YOUTUBER	
[4/15/23 06:12PM] Jipy used command ::yell new video + giveaway media channel on discord! | Player rights = YOUTUBER	
[4/15/23 06:12PM] Jipy used command ::yell good luck everyone! | Player rights = YOUTUBER	
[4/16/23 06:03PM] Jipy used command ::yell drawing giveaway winners 5 mins | Player rights = YOUTUBER	
[4/16/23 06:03PM] Jipy used command ::yell good luck everyone | Player rights = YOUTUBER	
[4/16/23 06:08PM] Jipy used command ::yell rolling 2 mins gl all! | Player rights = YOUTUBER	
[4/16/23 06:19PM] Jipy used command ::yell giveaway winners posted on discord gz everyone! | Player rights = YOUTUBER	
