[4/20/23 12:07AM] Hubby used command ::train | Player rights = PLAYER	
[4/20/23 12:11AM] Hubby used command ::train | Player rights = PLAYER	
[4/20/23 12:12AM] Hubby used command ::dropoff | Player rights = PLAYER	
[4/20/23 12:19AM] Hubby used command ::veigar | Player rights = PLAYER	
[4/20/23 12:20AM] Hubby used command ::ref | Player rights = PLAYER	
[4/20/23 12:21AM] Hubby used command ::home | Player rights = PLAYER	
[4/20/23 12:21AM] Hubby used command ::ninetails | Player rights = PLAYER	
[4/20/23 12:23AM] Hubby used command ::golden | Player rights = PLAYER	
[4/20/23 12:26AM] Hubby used command ::home | Player rights = PLAYER	
[4/20/23 12:49AM] Hubby used command ::veigar | Player rights = PLAYER	
[4/20/23 12:51AM] Hubby used command ::home | Player rights = PLAYER	
[4/20/23 01:04AM] Hubby used command ::home | Player rights = PLAYER	
[4/20/23 01:06AM] Hubby used command ::elo | Player rights = PLAYER	
[4/20/23 01:20AM] Hubby used command ::veigar | Player rights = PLAYER	
[4/20/23 01:21AM] Hubby used command ::ninetails | Player rights = PLAYER	
[4/20/23 01:23AM] Hubby used command ::meruem | Player rights = PLAYER	
[4/22/23 08:35AM] Hubby used command ::pin | Player rights = PLAYER	
