[4/17/23 04:39AM] Eckas used command ::veigar | Player rights = PLAYER	
[4/17/23 04:40AM] Eckas used command ::ninetails | Player rights = PLAYER	
[4/17/23 04:42AM] Eckas used command ::home | Player rights = PLAYER	
[4/17/23 04:43AM] Eckas used command ::Ref | Player rights = PLAYER	
[4/17/23 04:43AM] Eckas used command ::ref | Player rights = PLAYER	
[4/17/23 04:44AM] Eckas used command ::Train | Player rights = PLAYER	
[4/17/23 04:44AM] Eckas used command ::orc | Player rights = PLAYER	
[4/17/23 04:50AM] Eckas used command ::home | Player rights = PLAYER	
[4/17/23 04:51AM] Eckas used command ::Tasks | Player rights = PLAYER	
[4/17/23 04:51AM] Eckas used command ::collection | Player rights = PLAYER	
[4/17/23 04:51AM] Eckas used command ::Tasks | Player rights = PLAYER	
