[4/16/23 04:58PM] Archer used command ::vote | Player rights = PLAYER	
[4/16/23 04:59PM] Archer used command ::voted | Player rights = PLAYER	
[4/16/23 04:59PM] Archer used command ::claim | Player rights = PLAYER	
[4/16/23 04:59PM] Archer used command ::claimvote | Player rights = PLAYER	
[4/16/23 05:00PM] Archer used command ::reward 1 | Player rights = PLAYER	
[4/16/23 05:00PM] Archer used command ::reward 1 | Player rights = PLAYER	
[4/16/23 05:02PM] Archer used command ::voteboss | Player rights = PLAYER	
[4/16/23 05:03PM] Archer used command ::bank | Player rights = PLAYER	
[4/16/23 05:03PM] Archer used command ::bank | Player rights = PLAYER	
[4/16/23 05:03PM] Archer used command ::voteboss | Player rights = PLAYER	
[4/16/23 05:23PM] Archer used command ::veigar | Player rights = PLAYER	
[4/16/23 05:24PM] Archer used command ::golden | Player rights = PLAYER	
[4/16/23 05:24PM] Archer used command ::mereum | Player rights = PLAYER	
[4/16/23 05:24PM] Archer used command ::meruem | Player rights = PLAYER	
[4/16/23 05:24PM] Archer used command ::ninetails | Player rights = PLAYER	
[4/16/23 05:24PM] Archer used command ::meruem | Player rights = PLAYER	
[4/16/23 05:25PM] Archer used command ::golden | Player rights = PLAYER	
[4/16/23 05:26PM] Archer used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:26PM] Archer used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:53PM] Archer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:53PM] Archer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:19PM] Archer used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Archer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:25PM] Archer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:27PM] Archer used command ::ggl | Player rights = CLERIC_DONATOR	
[4/17/23 03:14PM] Archer used command ::ref wr3cked | Player rights = CLERIC_DONATOR	
[4/17/23 03:14PM] Archer used command ::ref | Player rights = CLERIC_DONATOR	
[4/17/23 03:21PM] Archer used command ::globals | Player rights = CLERIC_DONATOR	
[4/17/23 03:21PM] Archer used command ::global | Player rights = CLERIC_DONATOR	
[4/17/23 03:21PM] Archer used command ::inferno | Player rights = CLERIC_DONATOR	
