[4/16/23 10:17AM] Atz used command ::ref | Player rights = PLAYER	
[4/16/23 10:18AM] Atz used command ::ref | Player rights = PLAYER	
[4/16/23 10:18AM] Atz used command ::ref | Player rights = PLAYER	
[4/16/23 10:19AM] Atz used command ::train | Player rights = PLAYER	
[4/16/23 10:21AM] Atz used command ::donate | Player rights = PLAYER	
[4/16/23 10:22AM] Atz used command ::train | Player rights = PLAYER	
[4/16/23 10:23AM] Atz used command ::donate | Player rights = PLAYER	
[4/16/23 10:27AM] Atz used command ::claim | Player rights = PLAYER	
[4/16/23 10:29AM] Atz used command ::donate | Player rights = PLAYER	
[4/16/23 10:30AM] Atz used command ::claim | Player rights = PLAYER	
[4/16/23 10:30AM] Atz used command ::claim | Player rights = PLAYER	
[4/16/23 10:30AM] Atz used command ::claim | Player rights = PLAYER	
[4/16/23 10:32AM] Atz used command ::train | Player rights = CLERIC_DONATOR	
[4/16/23 10:43AM] Atz used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:44AM] Atz used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/16/23 10:45AM] Atz used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 10:49AM] Atz used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:49AM] Atz used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:52AM] Atz used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:09AM] Atz used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 11:10AM] Atz used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Atz used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 11:37AM] Atz used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 11:53AM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:54AM] Atz used command ::altars | Player rights = CLERIC_DONATOR	
[4/16/23 12:04PM] Atz used command ::Ref ents | Player rights = CLERIC_DONATOR	
[4/16/23 12:06PM] Atz used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 12:23PM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:49PM] Atz used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 12:52PM] Atz used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 12:53PM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:00PM] Atz used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 01:03PM] Atz used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 01:04PM] Atz used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:05PM] Atz used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 01:09PM] Atz used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:09PM] Atz used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:15PM] Atz used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:23PM] Atz used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:23PM] Atz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:23PM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Atz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:33PM] Atz used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:47PM] Atz used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:49PM] Atz used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:57PM] Atz used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Atz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Atz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Atz used command ::meruem | Player rights = CLERIC_DONATOR	
