[4/17/23 02:55PM] Roses used command ::tasks | Player rights = PLAYER	
[4/17/23 03:02PM] Roses used command ::veigar | Player rights = PLAYER	
[4/17/23 03:32PM] Roses used command ::veigar | Player rights = PLAYER	
[4/17/23 03:33PM] Roses used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:34PM] Roses used command ::meruem | Player rights = PLAYER	
[4/17/23 04:02PM] Roses used command ::veigar | Player rights = PLAYER	
[4/17/23 04:11PM] Roses used command ::totem | Player rights = PLAYER	
[4/17/23 11:24PM] Roses used command ::vote | Player rights = PLAYER	
[4/17/23 11:26PM] Roses used command ::claimvotes | Player rights = PLAYER	
[4/17/23 11:26PM] Roses used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 11:37PM] Roses used command ::afk | Player rights = PLAYER	
[4/17/23 11:41PM] Roses used command ::veigar | Player rights = PLAYER	
[4/17/23 11:43PM] Roses used command ::mereum | Player rights = PLAYER	
[4/18/23 12:04AM] Roses used command ::yellowzone | Player rights = PLAYER	
[4/18/23 12:04AM] Roses used command ::wzone | Player rights = PLAYER	
[4/18/23 12:05AM] Roses used command ::yellowboss | Player rights = PLAYER	
[4/18/23 12:11AM] Roses used command ::veigar | Player rights = PLAYER	
[4/18/23 12:47PM] Roses used command ::vote | Player rights = PLAYER	
[4/18/23 12:48PM] Roses used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 01:11PM] Roses used command ::veigar | Player rights = PLAYER	
[4/18/23 01:29PM] Roses used command ::voteboss | Player rights = PLAYER	
[4/18/23 01:41PM] Roses used command ::veigar | Player rights = PLAYER	
[4/18/23 01:41PM] Roses used command ::ninetails | Player rights = PLAYER	
[4/18/23 01:42PM] Roses used command ::golden | Player rights = PLAYER	
[4/18/23 01:53PM] Roses used command ::reff walkchaos | Player rights = PLAYER	
[4/18/23 01:53PM] Roses used command ::reff | Player rights = PLAYER	
[4/18/23 01:53PM] Roses used command ::referral | Player rights = PLAYER	
[4/18/23 02:12PM] Roses used command ::veigar | Player rights = PLAYER	
[4/18/23 03:11PM] Roses used command ::veigar | Player rights = PLAYER	
[4/18/23 03:12PM] Roses used command ::ninetails | Player rights = PLAYER	
