[4/18/23 02:26PM] Kiwi used command ::refer | Player rights = PLAYER	
[4/18/23 02:27PM] Kiwi used command ::bank | Player rights = PLAYER	
[4/18/23 02:33PM] Kiwi used command ::pos | Player rights = PLAYER	
[4/18/23 02:33PM] Kiwi used command ::pos | Player rights = PLAYER	
[4/18/23 02:34PM] Kiwi used command ::pos | Player rights = PLAYER	
[4/18/23 02:37PM] Kiwi used command ::vote | Player rights = PLAYER	
[4/18/23 02:39PM] Kiwi used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 02:41PM] Kiwi used command ::veigar | Player rights = PLAYER	
[4/18/23 02:42PM] Kiwi used command ::train | Player rights = PLAYER	
[4/18/23 02:46PM] Kiwi used command ::train | Player rights = PLAYER	
[4/18/23 02:48PM] Kiwi used command ::voteboss | Player rights = PLAYER	
[4/18/23 02:51PM] Kiwi used command ::home | Player rights = PLAYER	
[4/18/23 03:11PM] Kiwi used command ::veigar | Player rights = PLAYER	
[4/18/23 03:13PM] Kiwi used command ::bank | Player rights = PLAYER	
[4/18/23 03:41PM] Kiwi used command ::veigar | Player rights = PLAYER	
[4/18/23 03:41PM] Kiwi used command ::veigar | Player rights = PLAYER	
[4/18/23 04:11PM] Kiwi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Kiwi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:11PM] Kiwi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:05AM] Kiwi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:44AM] Kiwi used command ::golde | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:44AM] Kiwi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:44AM] Kiwi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:28AM] Kiwi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:32AM] Kiwi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:33AM] Kiwi used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:33AM] Kiwi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:34AM] Kiwi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:35AM] Kiwi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:38AM] Kiwi used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:53AM] Kiwi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:58AM] Kiwi used command ::dropsoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:58AM] Kiwi used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:00AM] Kiwi used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:01AM] Kiwi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:06AM] Kiwi used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:09AM] Kiwi used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:11AM] Kiwi used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:14AM] Kiwi used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:18AM] Kiwi used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:21AM] Kiwi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:23AM] Kiwi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:23AM] Kiwi used command ::hideplayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:24AM] Kiwi used command ::hideplayers | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:25AM] Kiwi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:27AM] Kiwi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:13AM] Kiwi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:15AM] Kiwi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:34AM] Kiwi used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:43AM] Kiwi used command ::veigar | Player rights = GRACEFUL_DONATOR	
