[4/19/23 05:50PM] Gerbear used command ::refer | Player rights = PLAYER	
[4/19/23 05:51PM] Gerbear used command ::refer | Player rights = PLAYER	
[4/19/23 05:53PM] Gerbear used command ::train | Player rights = PLAYER	
[4/19/23 05:54PM] Gerbear used command ::train | Player rights = PLAYER	
[4/19/23 05:56PM] Gerbear used command ::bank | Player rights = PLAYER	
[4/19/23 05:56PM] Gerbear used command ::home | Player rights = PLAYER	
[4/19/23 05:57PM] Gerbear used command ::train | Player rights = PLAYER	
[4/19/23 05:58PM] Gerbear used command ::donate | Player rights = PLAYER	
[4/19/23 06:00PM] Gerbear used command ::claim | Player rights = PLAYER	
[4/19/23 06:00PM] Gerbear used command ::claim | Player rights = PLAYER	
[4/19/23 06:01PM] Gerbear used command ::bank | Player rights = PLAYER	
[4/19/23 06:01PM] Gerbear used command ::bank | Player rights = PLAYER	
[4/19/23 06:02PM] Gerbear used command ::bank | Player rights = PLAYER	
[4/19/23 06:02PM] Gerbear used command ::train | Player rights = PLAYER	
[4/19/23 06:04PM] Gerbear used command ::home | Player rights = PLAYER	
[4/19/23 06:11PM] Gerbear used command ::deals | Player rights = PLAYER	
[4/19/23 06:12PM] Gerbear used command ::bank | Player rights = PLAYER	
[4/19/23 06:13PM] Gerbear used command ::home | Player rights = PLAYER	
[4/19/23 06:14PM] Gerbear used command ::veigar | Player rights = PLAYER	
[4/19/23 06:18PM] Gerbear used command ::discord | Player rights = PLAYER	
[4/19/23 06:43PM] Gerbear used command ::veigar | Player rights = PLAYER	
[4/19/23 06:45PM] Gerbear used command ::vboss | Player rights = PLAYER	
[4/19/23 07:14PM] Gerbear used command ::meruem | Player rights = PLAYER	
[4/19/23 07:14PM] Gerbear used command ::ninetails | Player rights = PLAYER	
[4/19/23 07:14PM] Gerbear used command ::viegar | Player rights = PLAYER	
[4/19/23 07:14PM] Gerbear used command ::veigar | Player rights = PLAYER	
[4/19/23 07:14PM] Gerbear used command ::ninetails | Player rights = PLAYER	
[4/19/23 07:15PM] Gerbear used command ::meruem | Player rights = PLAYER	
[4/19/23 07:18PM] Gerbear used command ::home | Player rights = PLAYER	
[4/19/23 09:49PM] Gerbear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:19PM] Gerbear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:40PM] Gerbear used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:40PM] Gerbear used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:41PM] Gerbear used command ::donationdeals | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:41PM] Gerbear used command ::rewards | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:49PM] Gerbear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:55PM] Gerbear used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:57PM] Gerbear used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:57PM] Gerbear used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:19PM] Gerbear used command ::veifar | Player rights = CLERIC_DONATOR	
[4/20/23 04:19PM] Gerbear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:07PM] Gerbear used command ::aoe | Player rights = CLERIC_DONATOR	
[4/20/23 07:19PM] Gerbear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:20PM] Gerbear used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:21PM] Gerbear used command ::meruem | Player rights = CLERIC_DONATOR	
