[4/22/23 12:58PM] Brex used command ::refer Wr3ckedyou | Player rights = PLAYER	
[4/22/23 12:58PM] Brex used command ::ref | Player rights = PLAYER	
[4/22/23 01:00PM] Brex used command ::bank | Player rights = PLAYER	
[4/22/23 01:01PM] Brex used command ::train | Player rights = PLAYER	
[4/22/23 01:02PM] Brex used command ::veigar | Player rights = PLAYER	
[4/22/23 01:04PM] Brex used command ::train | Player rights = PLAYER	
[4/22/23 01:24PM] Brex used command ::prayer | Player rights = PLAYER	
[4/22/23 01:27PM] Brex used command ::pos | Player rights = PLAYER	
[4/22/23 01:27PM] Brex used command ::home | Player rights = PLAYER	
[4/22/23 01:27PM] Brex used command ::vote | Player rights = PLAYER	
[4/22/23 01:29PM] Brex used command ::claimvote | Player rights = PLAYER	
[4/22/23 01:29PM] Brex used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 01:30PM] Brex used command ::voteboss | Player rights = PLAYER	
[4/22/23 01:32PM] Brex used command ::veigar | Player rights = PLAYER	
[4/22/23 01:33PM] Brex used command ::ninetails | Player rights = PLAYER	
[4/22/23 01:35PM] Brex used command ::kc | Player rights = PLAYER	
[4/22/23 02:02PM] Brex used command ::veigar | Player rights = GRACEFUL_DONATOR	
