[4/15/23 01:48PM] Uhthred used command ::donate | Player rights = PLAYER	
[4/15/23 01:50PM] Uhthred used command ::home | Player rights = PLAYER	
[4/15/23 01:51PM] Uhthred used command ::forge | Player rights = PLAYER	
[4/15/23 01:51PM] Uhthred used command ::forge | Player rights = PLAYER	
[4/15/23 01:54PM] Uhthred used command ::dropon | Player rights = PLAYER	
[4/15/23 01:57PM] Uhthred used command ::store | Player rights = PLAYER	
[4/15/23 01:58PM] Uhthred used command ::bank | Player rights = PLAYER	
[4/15/23 01:59PM] Uhthred used command ::veigar | Player rights = PLAYER	
[4/15/23 02:00PM] Uhthred used command ::voteboss | Player rights = PLAYER	
[4/15/23 02:05PM] Uhthred used command ::claim | Player rights = PLAYER	
[4/15/23 02:10PM] Uhthred used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 02:10PM] Uhthred used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 02:28PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 02:48PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/15/23 02:50PM] Uhthred used command ::donate | Player rights = CLERIC_DONATOR	
[4/15/23 02:51PM] Uhthred used command ::bp | Player rights = CLERIC_DONATOR	
[4/15/23 02:56PM] Uhthred used command ::Deals | Player rights = CLERIC_DONATOR	
[4/15/23 02:59PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 02:59PM] Uhthred used command ::shop | Player rights = CLERIC_DONATOR	
[4/15/23 02:59PM] Uhthred used command ::donate | Player rights = CLERIC_DONATOR	
[4/15/23 03:03PM] Uhthred used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 03:10PM] Uhthred used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/15/23 03:13PM] Uhthred used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 03:13PM] Uhthred used command ::czone | Player rights = CLERIC_DONATOR	
[4/15/23 03:13PM] Uhthred used command ::dz | Player rights = CLERIC_DONATOR	
[4/15/23 03:13PM] Uhthred used command ::dzone | Player rights = CLERIC_DONATOR	
[4/15/23 03:22PM] Uhthred used command ::walkchaos | Player rights = CLERIC_DONATOR	
[4/15/23 03:26PM] Uhthred used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 03:28PM] Uhthred used command ::donate | Player rights = CLERIC_DONATOR	
[4/15/23 03:29PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 03:32PM] Uhthred used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 03:34PM] Uhthred used command ::goldan | Player rights = CLERIC_DONATOR	
[4/15/23 03:34PM] Uhthred used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 03:36PM] Uhthred used command ::collection | Player rights = CLERIC_DONATOR	
[4/15/23 03:42PM] Uhthred used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 03:54PM] Uhthred used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 03:55PM] Uhthred used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 03:58PM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 04:06PM] Uhthred used command ::totem | Player rights = CLERIC_DONATOR	
[4/15/23 04:09PM] Uhthred used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] Uhthred used command ::goden | Player rights = CLERIC_DONATOR	
[4/16/23 04:59AM] Uhthred used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:08AM] Uhthred used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:08AM] Uhthred used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:08AM] Uhthred used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 05:11AM] Uhthred used command :::tasks | Player rights = CLERIC_DONATOR	
