[4/19/23 11:26AM] Wr3cked used command ::REFER | Player rights = PLAYER	
[4/19/23 11:37AM] Wr3cked used command ::tRAIN | Player rights = PLAYER	
[4/19/23 11:38AM] Wr3cked used command ::yELL ::wR3CKED ! | Player rights = PLAYER	
[4/19/23 11:41AM] Wr3cked used command ::Refer | Player rights = PLAYER	
[4/19/23 11:41AM] Wr3cked used command ::train | Player rights = PLAYER	
[4/19/23 11:42AM] Wr3cked used command ::Vboss | Player rights = PLAYER	
[4/19/23 11:43AM] Wr3cked used command ::Train | Player rights = PLAYER	
[4/19/23 11:43AM] Wr3cked used command ::velgar | Player rights = PLAYER	
[4/19/23 11:43AM] Wr3cked used command ::Velgar | Player rights = PLAYER	
[4/19/23 11:43AM] Wr3cked used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] Wr3cked used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Wr3cked used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] Wr3cked used command ::golden | Player rights = PLAYER	
[4/19/23 11:49AM] Wr3cked used command ::train | Player rights = PLAYER	
[4/19/23 11:54AM] Wr3cked used command ::train | Player rights = PLAYER	
[4/19/23 11:56AM] Wr3cked used command ::train | Player rights = PLAYER	
[4/19/23 11:59AM] Wr3cked used command ::train | Player rights = PLAYER	
[4/19/23 11:59AM] Wr3cked used command ::Home | Player rights = PLAYER	
[4/19/23 12:10PM] Wr3cked used command ::yell hype me the fk upppp! $100 box nowwww @ yt/wr3ckedyou | Player rights = PLAYER	
[4/19/23 12:11PM] Wr3cked used command ::collect | Player rights = PLAYER	
[4/19/23 12:13PM] Wr3cked used command ::viegar | Player rights = PLAYER	
[4/19/23 12:13PM] Wr3cked used command ::veigar | Player rights = PLAYER	
[4/19/23 12:14PM] Wr3cked used command ::Curses | Player rights = PLAYER	
[4/19/23 12:15PM] Wr3cked used command ::Voteboss | Player rights = PLAYER	
[4/19/23 12:16PM] Wr3cked used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Wr3cked used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Wr3cked used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Wr3cked used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Wr3cked used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Wr3cked used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:19PM] Wr3cked used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:20PM] Wr3cked used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:24PM] Wr3cked used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:25PM] Wr3cked used command ::Yell live $125 giveaway @ ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:28PM] Wr3cked used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:30PM] Wr3cked used command ::yell live rn $125 giveaway in 1 minute @::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:31PM] Wr3cked used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:33PM] Wr3cked used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:33PM] Wr3cked used command ::Yell $125 giveaway rn live @::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:33PM] Wr3cked used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:33PM] Wr3cked used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:33PM] Wr3cked used command ::dropon | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:39PM] Wr3cked used command ::yell lets crush 60 viewers! $125 g/a in 60 seconds @::Wr3cked | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43PM] Wr3cked used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43PM] Wr3cked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:44PM] Wr3cked used command ::yell hypeeeeeeeeeeee | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Wr3cked used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Wr3cked used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Wr3cked used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:53PM] Wr3cked used command ::Yell $250 giveaway????? @::Wr3cked !!!!!!!!!!!!!!!!!! | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:56PM] Wr3cked used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:57PM] Wr3cked used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:57PM] Wr3cked used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:57PM] Wr3cked used command ::redeem | Player rights = GRACEFUL_DONATOR	
