[4/17/23 09:55PM] Brother used command ::vote | Player rights = PLAYER	
[4/17/23 09:56PM] Brother used command ::claimreward | Player rights = PLAYER	
[4/17/23 09:56PM] Brother used command ::claimvote | Player rights = PLAYER	
[4/17/23 09:56PM] Brother used command ::claim | Player rights = PLAYER	
[4/17/23 09:57PM] Brother used command ::reward 1 | Player rights = PLAYER	
[4/17/23 09:57PM] Brother used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 09:57PM] Brother used command ::reward 1 | Player rights = PLAYER	
[4/17/23 09:58PM] Brother used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 09:58PM] Brother used command ::reward 1 | Player rights = PLAYER	
[4/17/23 09:58PM] Brother used command ::reward 1 | Player rights = PLAYER	
[4/17/23 09:58PM] Brother used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 09:58PM] Brother used command ::Veigar | Player rights = PLAYER	
[4/17/23 09:58PM] Brother used command ::ninetails | Player rights = PLAYER	
[4/17/23 10:02PM] Brother used command ::pos | Player rights = PLAYER	
[4/17/23 10:02PM] Brother used command ::home | Player rights = PLAYER	
[4/17/23 10:03PM] Brother used command ::pos | Player rights = PLAYER	
[4/17/23 10:03PM] Brother used command ::pos | Player rights = PLAYER	
[4/17/23 10:12PM] Brother used command ::afk | Player rights = PLAYER	
[4/17/23 10:13PM] Brother used command ::shops | Player rights = PLAYER	
[4/17/23 10:13PM] Brother used command ::home | Player rights = PLAYER	
[4/17/23 10:16PM] Brother used command ::ref walkchaos | Player rights = PLAYER	
[4/17/23 10:42PM] Brother used command ::veigar | Player rights = PLAYER	
[4/17/23 10:42PM] Brother used command ::vegiar | Player rights = PLAYER	
[4/17/23 10:42PM] Brother used command ::vegiar | Player rights = PLAYER	
[4/17/23 10:42PM] Brother used command ::veigar | Player rights = PLAYER	
[4/17/23 10:43PM] Brother used command ::ninetails | Player rights = PLAYER	
[4/17/23 10:44PM] Brother used command ::ninetails | Player rights = PLAYER	
[4/17/23 10:44PM] Brother used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 11:06PM] Brother used command ::home\ | Player rights = PLAYER	
[4/17/23 11:06PM] Brother used command ::home | Player rights = PLAYER	
[4/17/23 11:08PM] Brother used command ::home | Player rights = PLAYER	
[4/17/23 11:11PM] Brother used command ::veigar | Player rights = PLAYER	
[4/17/23 11:11PM] Brother used command ::veigar | Player rights = PLAYER	
[4/17/23 11:12PM] Brother used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:41PM] Brother used command ::veigar | Player rights = PLAYER	
[4/18/23 07:41AM] Brother used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Brother used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Brother used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:43AM] Brother used command ::home | Player rights = GRACEFUL_DONATOR	
