[4/16/23 03:38PM] Fe used command ::ref | Player rights = PLAYER	
[4/16/23 03:39PM] Fe used command ::ref  | Player rights = PLAYER	
[4/16/23 03:39PM] Fe used command ::ref | Player rights = PLAYER	
[4/16/23 03:40PM] Fe used command ::starter | Player rights = PLAYER	
[4/16/23 03:40PM] Fe used command ::starter | Player rights = PLAYER	
[4/16/23 03:44PM] Fe used command ::starter | Player rights = PLAYER	
[4/16/23 03:53PM] Fe used command ::veigar | Player rights = PLAYER	
[4/16/23 03:57PM] Fe used command ::starter | Player rights = PLAYER	
[4/16/23 03:58PM] Fe used command ::reward | Player rights = PLAYER	
[4/16/23 04:22PM] Fe used command ::veigar | Player rights = PLAYER	
[4/16/23 04:24PM] Fe used command ::ninetails | Player rights = PLAYER	
[4/16/23 05:12PM] Fe used command ::starter | Player rights = PLAYER	
[4/16/23 05:17PM] Fe used command ::totem | Player rights = PLAYER	
