[4/20/23 08:55AM] Ron used command ::ref | Player rights = PLAYER	
[4/20/23 09:19AM] Ron used command ::veigar | Player rights = PLAYER	
[4/20/23 09:20AM] Ron used command ::ninetails | Player rights = PLAYER	
[4/20/23 09:21AM] Ron used command ::meruem | Player rights = PLAYER	
[4/20/23 09:23AM] Ron used command ::golden | Player rights = PLAYER	
[4/20/23 09:23AM] Ron used command ::vote | Player rights = PLAYER	
[4/20/23 09:24AM] Ron used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 09:24AM] Ron used command ::voteboss | Player rights = PLAYER	
[4/20/23 09:27AM] Ron used command ::Shops | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:27AM] Ron used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:27AM] Ron used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:43AM] Ron used command ::dz | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:43AM] Ron used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:19AM] Ron used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:20AM] Ron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:21AM] Ron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:23AM] Ron used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:23AM] Ron used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:23AM] Ron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:25AM] Ron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:26AM] Ron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:27AM] Ron used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:29AM] Ron used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:30AM] Ron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:31AM] Ron used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:31AM] Ron used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:31AM] Ron used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:31AM] Ron used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:31AM] Ron used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:31AM] Ron used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:31AM] Ron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:36AM] Ron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:38AM] Ron used command ::Ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:40AM] Ron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:45AM] Ron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:47AM] Ron used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:48AM] Ron used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:49AM] Ron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:51AM] Ron used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:53AM] Ron used command ::togglecollector | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:54AM] Ron used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:56AM] Ron used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:38AM] Ron used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:40AM] Ron used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:01PM] Ron used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:01PM] Ron used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:02PM] Ron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:20PM] Ron used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:21PM] Ron used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:22PM] Ron used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:32PM] Ron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:32PM] Ron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:34PM] Ron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:02PM] Ron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:33PM] Ron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:36PM] Ron used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:43PM] Ron used command ::refer | Player rights = CLERIC_DONATOR	
[4/22/23 04:51PM] Ron used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 04:51PM] Ron used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 04:51PM] Ron used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 04:51PM] Ron used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 05:02PM] Ron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:24PM] Ron used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:25PM] Ron used command ::dz | Player rights = CLERIC_DONATOR	
[4/22/23 05:25PM] Ron used command ::dzone | Player rights = CLERIC_DONATOR	
[4/22/23 05:28PM] Ron used command ::shops | Player rights = CLERIC_DONATOR	
[4/22/23 05:28PM] Ron used command ::oldhome | Player rights = CLERIC_DONATOR	
[4/22/23 05:28PM] Ron used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 05:28PM] Ron used command ::commands | Player rights = CLERIC_DONATOR	
[4/22/23 05:28PM] Ron used command ::gamble | Player rights = CLERIC_DONATOR	
[4/22/23 05:29PM] Ron used command ::commands | Player rights = CLERIC_DONATOR	
[4/22/23 05:29PM] Ron used command ::rewards | Player rights = CLERIC_DONATOR	
[4/22/23 05:29PM] Ron used command ::rewards 1 | Player rights = CLERIC_DONATOR	
[4/22/23 05:32PM] Ron used command ::rewards 1 | Player rights = CLERIC_DONATOR	
[4/22/23 05:32PM] Ron used command ::rewards 2 | Player rights = CLERIC_DONATOR	
[4/22/23 05:32PM] Ron used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:32PM] Ron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:33PM] Ron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:34PM] Ron used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 06:02PM] Ron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:20PM] Ron used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:29PM] Ron used command ::Shops | Player rights = CLERIC_DONATOR	
[4/22/23 06:29PM] Ron used command ::shops | Player rights = CLERIC_DONATOR	
[4/22/23 06:32PM] Ron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:34PM] Ron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 06:34PM] Ron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:35PM] Ron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 06:41PM] Ron used command ::ancients | Player rights = CLERIC_DONATOR	
[4/22/23 06:41PM] Ron used command ::curses | Player rights = CLERIC_DONATOR	
[4/22/23 06:41PM] Ron used command ::Spellbookswap | Player rights = CLERIC_DONATOR	
[4/26/23 06:05PM] Ron used command ::homne | Player rights = CLERIC_DONATOR	
[4/26/23 06:05PM] Ron used command ::homme | Player rights = CLERIC_DONATOR	
[4/26/23 06:05PM] Ron used command ::refer winallday | Player rights = CLERIC_DONATOR	
[4/26/23 06:05PM] Ron used command ::home | Player rights = CLERIC_DONATOR	
