[4/19/23 06:38PM] Morbidfaith used command ::refer | Player rights = PLAYER	
[4/19/23 06:38PM] Morbidfaith used command ::refer | Player rights = PLAYER	
[4/19/23 06:42PM] Morbidfaith used command ::train | Player rights = PLAYER	
[4/19/23 06:44PM] Morbidfaith used command ::veigar | Player rights = PLAYER	
[4/19/23 06:45PM] Morbidfaith used command ::train | Player rights = PLAYER	
[4/19/23 07:14PM] Morbidfaith used command ::veigar | Player rights = PLAYER	
[4/19/23 07:15PM] Morbidfaith used command ::ninetails00000 | Player rights = PLAYER	
[4/19/23 07:43PM] Morbidfaith used command ::veigar | Player rights = PLAYER	
[4/19/23 08:03PM] Morbidfaith used command ::poh | Player rights = PLAYER	
[4/19/23 08:14PM] Morbidfaith used command ::veigar | Player rights = PLAYER	
[4/19/23 08:44PM] Morbidfaith used command ::veigar | Player rights = PLAYER	
