[4/17/23 12:39PM] Shellshocked used command ::stater | Player rights = PLAYER	
[4/17/23 12:50PM] Shellshocked used command ::ref | Player rights = PLAYER	
[4/17/23 12:52PM] Shellshocked used command ::ref | Player rights = PLAYER	
[4/17/23 01:32PM] Shellshocked used command ::veigar | Player rights = PLAYER	
[4/17/23 01:35PM] Shellshocked used command ::vote | Player rights = PLAYER	
[4/17/23 01:38PM] Shellshocked used command ::reward1 | Player rights = PLAYER	
[4/17/23 01:38PM] Shellshocked used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 02:02PM] Shellshocked used command ::veigar | Player rights = PLAYER	
[4/18/23 01:38AM] Shellshocked used command ::bank | Player rights = PLAYER	
[4/18/23 01:41AM] Shellshocked used command ::veigar | Player rights = PLAYER	
[4/18/23 01:42AM] Shellshocked used command ::ninetails | Player rights = PLAYER	
[4/18/23 01:42AM] Shellshocked used command ::golden | Player rights = PLAYER	
[4/18/23 01:43AM] Shellshocked used command ::golden | Player rights = PLAYER	
[4/18/23 02:11AM] Shellshocked used command ::veigar | Player rights = PLAYER	
[4/18/23 02:20AM] Shellshocked used command ::pos | Player rights = PLAYER	
[4/18/23 02:39AM] Shellshocked used command ::vboss | Player rights = PLAYER	
[4/18/23 02:40AM] Shellshocked used command ::bank | Player rights = PLAYER	
[4/18/23 02:41AM] Shellshocked used command ::vboss | Player rights = PLAYER	
[4/18/23 02:41AM] Shellshocked used command ::veigar | Player rights = PLAYER	
[4/18/23 02:42AM] Shellshocked used command ::ninetails | Player rights = PLAYER	
[4/18/23 02:42AM] Shellshocked used command ::golden | Player rights = PLAYER	
[4/18/23 02:42AM] Shellshocked used command ::vboss | Player rights = PLAYER	
[4/18/23 02:44AM] Shellshocked used command ::mereum | Player rights = PLAYER	
[4/18/23 07:58AM] Shellshocked used command ::vote | Player rights = PLAYER	
[4/18/23 07:59AM] Shellshocked used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 08:11AM] Shellshocked used command ::veigar | Player rights = PLAYER	
[4/18/23 08:36AM] Shellshocked used command ::afk | Player rights = PLAYER	
[4/18/23 08:36AM] Shellshocked used command ::veigar | Player rights = PLAYER	
[4/18/23 08:42AM] Shellshocked used command ::ninetails | Player rights = PLAYER	
[4/18/23 08:42AM] Shellshocked used command ::meruer | Player rights = PLAYER	
[4/18/23 08:43AM] Shellshocked used command ::muruem | Player rights = PLAYER	
[4/18/23 08:43AM] Shellshocked used command ::meruem | Player rights = PLAYER	
[4/18/23 10:40AM] Shellshocked used command ::veigar | Player rights = PLAYER	
[4/18/23 10:41AM] Shellshocked used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:42AM] Shellshocked used command ::meruem | Player rights = PLAYER	
[4/18/23 10:42AM] Shellshocked used command ::golden | Player rights = PLAYER	
[4/18/23 11:11AM] Shellshocked used command ::virgar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:11AM] Shellshocked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:39AM] Shellshocked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:42AM] Shellshocked used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:10PM] Shellshocked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:40PM] Shellshocked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Shellshocked used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Shellshocked used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Shellshocked used command ::seigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Shellshocked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:50PM] Shellshocked used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:10PM] Shellshocked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:38PM] Shellshocked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41PM] Shellshocked used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:11PM] Shellshocked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Shellshocked used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Shellshocked used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:38PM] Shellshocked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:41PM] Shellshocked used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:41PM] Shellshocked used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Shellshocked used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:52PM] Shellshocked used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:53PM] Shellshocked used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:54PM] Shellshocked used command ::reward 1  | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:55PM] Shellshocked used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:11PM] Shellshocked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:17PM] Shellshocked used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:39PM] Shellshocked used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:44PM] Shellshocked used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:45PM] Shellshocked used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:46PM] Shellshocked used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:47PM] Shellshocked used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:48PM] Shellshocked used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:50PM] Shellshocked used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:51PM] Shellshocked used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:05PM] Shellshocked used command ::veogat | Player rights = CLERIC_DONATOR	
[4/18/23 11:05PM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:08PM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:55AM] Shellshocked used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 08:55AM] Shellshocked used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 08:59AM] Shellshocked used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 10:13AM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:16AM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 10:40AM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:42AM] Shellshocked used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 10:42AM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:44AM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:45AM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:10AM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:15AM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Shellshocked used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Shellshocked used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:41AM] Shellshocked used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:43AM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:44AM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Shellshocked used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:46AM] Shellshocked used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Shellshocked used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Shellshocked used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:18PM] Shellshocked used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:43PM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Shellshocked used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:57PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:14PM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:15PM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 03:17PM] Shellshocked used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 03:17PM] Shellshocked used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 02:34AM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:58AM] Shellshocked used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 09:00AM] Shellshocked used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 09:20AM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:21AM] Shellshocked used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 09:23AM] Shellshocked used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Shellshocked used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 04:19PM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:20PM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 04:43PM] Shellshocked used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:13PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:14PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:20PM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:20PM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:21PM] Shellshocked used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:26PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:30PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:33PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:41PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:49PM] Shellshocked used command ::veugar | Player rights = CLERIC_DONATOR	
[4/20/23 05:49PM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:57PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:36PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:39PM] Shellshocked used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:47PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:04PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:20PM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:21PM] Shellshocked used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:23PM] Shellshocked used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 07:32PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:43PM] Shellshocked used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:49PM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:56PM] Shellshocked used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 07:56PM] Shellshocked used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 08:09PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:25PM] Shellshocked used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:25PM] Shellshocked used command ::veugar | Player rights = CLERIC_DONATOR	
[4/20/23 08:25PM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:42AM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:04PM] Shellshocked used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Shellshocked used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Shellshocked used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:25PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:25PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:32PM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:34PM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:35PM] Shellshocked used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 04:36PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:50PM] Shellshocked used command ::ops | Player rights = CLERIC_DONATOR	
[4/21/23 04:50PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:02PM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:15PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:16PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:38PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:13PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:17PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:14PM] Shellshocked used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 11:15PM] Shellshocked used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 11:30PM] Shellshocked used command ::veigar::afk | Player rights = CLERIC_DONATOR	
[4/22/23 11:32PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:32PM] Shellshocked used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:33PM] Shellshocked used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:34PM] Shellshocked used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 11:35PM] Shellshocked used command ::meruem  | Player rights = CLERIC_DONATOR	
[4/22/23 11:35PM] Shellshocked used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 11:37PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:39PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:56PM] Shellshocked used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:20AM] Shellshocked used command ::POS | Player rights = CLERIC_DONATOR	
