[4/20/23 12:47AM] Mini used command ::ref | Player rights = PLAYER	
[4/20/23 12:52AM] Mini used command ::Home | Player rights = PLAYER	
[4/20/23 12:53AM] Mini used command ::donate | Player rights = PLAYER	
[4/20/23 12:57AM] Mini used command ::claim | Player rights = PLAYER	
[4/20/23 12:57AM] Mini used command ::claim | Player rights = PLAYER	
[4/20/23 01:01AM] Mini used command ::Bank | Player rights = PLAYER	
[4/20/23 01:05AM] Mini used command ::Gamble | Player rights = PLAYER	
[4/20/23 01:49AM] Mini used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:57AM] Mini used command ::claim | Player rights = CLERIC_DONATOR	
[4/20/23 01:57AM] Mini used command ::gamble | Player rights = CLERIC_DONATOR	
[4/20/23 02:48AM] Mini used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:50AM] Mini used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:57AM] Mini used command ::Bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:04AM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:06AM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:15AM] Mini used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:19AM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:19AM] Mini used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:21AM] Mini used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:23AM] Mini used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:25AM] Mini used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:28AM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:41AM] Mini used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:49AM] Mini used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:35AM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:35AM] Mini used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 05:58AM] Mini used command ::mereum | Player rights = MYSTICAL_DONATOR	
[4/20/23 05:58AM] Mini used command ::mereum | Player rights = MYSTICAL_DONATOR	
[4/20/23 05:59AM] Mini used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:19AM] Mini used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:20AM] Mini used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:27AM] Mini used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:29AM] Mini used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:45AM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:54PM] Mini used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:55PM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:56PM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:58PM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:00AM] Mini used command ::Claim | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:03AM] Mini used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:05AM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:32AM] Mini used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:36AM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:36AM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:50AM] Mini used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:02AM] Mini used command ::Veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:08AM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:08AM] Mini used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:14AM] Mini used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:43PM] Mini used command ::maxhit | Player rights = MYSTICAL_DONATOR	
