[4/15/23 04:49AM] Dids used command ::referral | Player rights = PLAYER	
[4/15/23 04:50AM] Dids used command ::meruem | Player rights = PLAYER	
[4/15/23 04:53AM] Dids used command ::donor | Player rights = PLAYER	
[4/15/23 04:54AM] Dids used command ::bank | Player rights = PLAYER	
[4/15/23 04:54AM] Dids used command ::meruem | Player rights = PLAYER	
[4/15/23 05:00AM] Dids used command ::Voteboss | Player rights = PLAYER	
[4/16/23 05:32AM] Dids used command ::train | Player rights = PLAYER	
[4/16/23 05:33AM] Dids used command ::orc | Player rights = PLAYER	
[4/16/23 05:45AM] Dids used command ::train | Player rights = PLAYER	
[4/16/23 05:50AM] Dids used command ::home | Player rights = PLAYER	
[4/16/23 05:53AM] Dids used command ::Veigar | Player rights = PLAYER	
[4/16/23 05:54AM] Dids used command ::home | Player rights = PLAYER	
