[4/16/23 04:12PM] Nelpme used command ::starter | Player rights = PLAYER	
[4/16/23 04:12PM] Nelpme used command ::referal | Player rights = PLAYER	
[4/16/23 04:12PM] Nelpme used command ::refer | Player rights = PLAYER	
[4/16/23 04:32PM] Nelpme used command ::guides | Player rights = PLAYER	
[4/16/23 04:33PM] Nelpme used command ::vote | Player rights = PLAYER	
[4/16/23 04:34PM] Nelpme used command ::voted | Player rights = PLAYER	
[4/16/23 04:34PM] Nelpme used command ::claimvotes | Player rights = PLAYER	
[4/16/23 04:34PM] Nelpme used command ::claim | Player rights = PLAYER	
[4/16/23 04:34PM] Nelpme used command ::claimvote | Player rights = PLAYER	
[4/16/23 04:34PM] Nelpme used command ::voted | Player rights = PLAYER	
[4/16/23 04:35PM] Nelpme used command ::reward 2 | Player rights = PLAYER	
[4/16/23 04:35PM] Nelpme used command ::reward 1 | Player rights = PLAYER	
[4/16/23 04:35PM] Nelpme used command ::reward 1 | Player rights = PLAYER	
[4/16/23 04:42PM] Nelpme used command ::bank | Player rights = PLAYER	
[4/16/23 04:42PM] Nelpme used command ::bank | Player rights = PLAYER	
[4/16/23 04:42PM] Nelpme used command ::bank | Player rights = PLAYER	
[4/16/23 04:54PM] Nelpme used command ::veigar | Player rights = PLAYER	
[4/16/23 05:00PM] Nelpme used command ::voteboss | Player rights = PLAYER	
[4/16/23 05:03PM] Nelpme used command ::home | Player rights = PLAYER	
[4/16/23 05:03PM] Nelpme used command ::vboss | Player rights = PLAYER	
[4/16/23 05:04PM] Nelpme used command ::pos | Player rights = PLAYER	
[4/16/23 05:04PM] Nelpme used command ::pos | Player rights = PLAYER	
[4/16/23 05:04PM] Nelpme used command ::Home | Player rights = PLAYER	
[4/16/23 05:23PM] Nelpme used command ::veigar | Player rights = PLAYER	
