[4/22/23 02:41PM] Hc Pvm Vet used command ::train | Player rights = PLAYER	
[4/22/23 02:42PM] Hc Pvm Vet used command ::starter | Player rights = PLAYER	
[4/22/23 03:03PM] Hc Pvm Vet used command ::veigar | Player rights = PLAYER	
[4/22/23 05:33PM] Hc Pvm Vet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:34PM] Hc Pvm Vet used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:34PM] Hc Pvm Vet used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:38PM] Hc Pvm Vet used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:45PM] Hc Pvm Vet used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:51PM] Hc Pvm Vet used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:02PM] Hc Pvm Vet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:40AM] Hc Pvm Vet used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:42AM] Hc Pvm Vet used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:52AM] Hc Pvm Vet used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:52AM] Hc Pvm Vet used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:54AM] Hc Pvm Vet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Hc Pvm Vet used command ::nintetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Hc Pvm Vet used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Hc Pvm Vet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:56AM] Hc Pvm Vet used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:56AM] Hc Pvm Vet used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:56AM] Hc Pvm Vet used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:24AM] Hc Pvm Vet used command ::veigae | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:25AM] Hc Pvm Vet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:46AM] Hc Pvm Vet used command ::vboss' | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:46AM] Hc Pvm Vet used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:53AM] Hc Pvm Vet used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:54AM] Hc Pvm Vet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:55AM] Hc Pvm Vet used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:55AM] Hc Pvm Vet used command ::home | Player rights = GRACEFUL_DONATOR	
