[4/21/23 05:59AM] Winalldays used command ::yell live youtube.com/winallday1 massive giveaways | Player rights = PLAYER	
[4/21/23 06:05AM] Winalldays used command ::yell live link in discord big giveaways!!!!!!! | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:05AM] Winalldays used command ::yell live link in discord huge giveaways!!! | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:18AM] Winalldays used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:33AM] Winalldays used command ::vEIGAR | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35AM] Winalldays used command ::WINALLDAY | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:38AM] Winalldays used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:40AM] Winalldays used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:40AM] Winalldays used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:03AM] Winalldays used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:14AM] Winalldays used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:32AM] Winalldays used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:33AM] Winalldays used command ::yell dick | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:34AM] Winalldays used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:35AM] Winalldays used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:58AM] Winalldays used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:51AM] Winalldays used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:53AM] Winalldays used command ::HOME | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:55AM] Winalldays used command ::YELL | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:58AM] Winalldays used command ::vOTE | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:02AM] Winalldays used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:32AM] Winalldays used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Winalldays used command ::ninetyails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:35AM] Winalldays used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:35AM] Winalldays used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:02AM] Winalldays used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:04AM] Winalldays used command :::maxhit | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:32AM] Winalldays used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:36AM] Winalldays used command ::VOTEBOSS | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:39AM] Winalldays used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:02PM] Winalldays used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:05PM] Winalldays used command ::OBLE | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:05PM] Winalldays used command ::NOBLE | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:05PM] Winalldays used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:05PM] Winalldays used command ::winallday | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:05PM] Winalldays used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32PM] Winalldays used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Winalldays used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Winalldays used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Winalldays used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Winalldays used command ::meruem | Player rights = GRACEFUL_DONATOR	
