[4/23/23 04:24AM] Bain used command ::ref | Player rights = PLAYER	
[4/23/23 04:27AM] Bain used command ::train | Player rights = PLAYER	
[4/23/23 04:31AM] Bain used command ::vboss | Player rights = PLAYER	
[4/23/23 04:34AM] Bain used command ::veigar | Player rights = PLAYER	
[4/23/23 04:37AM] Bain used command ::train | Player rights = PLAYER	
[4/23/23 05:00AM] Bain used command ::train | Player rights = PLAYER	
[4/23/23 05:04AM] Bain used command ::veigar | Player rights = PLAYER	
[4/23/23 05:06AM] Bain used command ::train | Player rights = PLAYER	
[4/23/23 05:08AM] Bain used command ::commands | Player rights = PLAYER	
[4/23/23 05:11AM] Bain used command ::train2 | Player rights = PLAYER	
[4/23/23 05:11AM] Bain used command ::train | Player rights = PLAYER	
[4/23/23 05:13AM] Bain used command ::col | Player rights = PLAYER	
[4/23/23 05:14AM] Bain used command ::ref | Player rights = PLAYER	
[4/23/23 05:25AM] Bain used command ::a | Player rights = PLAYER	
[4/23/23 05:29AM] Bain used command ::vote | Player rights = PLAYER	
[4/23/23 05:34AM] Bain used command ::veigar | Player rights = PLAYER	
[4/23/23 06:00AM] Bain used command ::shops | Player rights = PLAYER	
[4/23/23 06:03AM] Bain used command ::afk | Player rights = PLAYER	
[4/23/23 06:03AM] Bain used command ::rules | Player rights = PLAYER	
[4/23/23 06:05AM] Bain used command ::ninetails | Player rights = PLAYER	
[4/23/23 06:05AM] Bain used command ::veiger | Player rights = PLAYER	
[4/23/23 06:08AM] Bain used command ::afk | Player rights = PLAYER	
