[4/18/23 08:17PM] Dadsbelt used command ::ref | Player rights = PLAYER	
[4/18/23 08:17PM] Dadsbelt used command ::pin | Player rights = PLAYER	
[4/18/23 08:17PM] Dadsbelt used command ::yell lol  | Player rights = PLAYER	
[4/18/23 08:17PM] Dadsbelt used command ::commands | Player rights = PLAYER	
[4/18/23 08:18PM] Dadsbelt used command ::help | Player rights = PLAYER	
[4/18/23 08:18PM] Dadsbelt used command :: ref | Player rights = PLAYER	
[4/18/23 08:20PM] Dadsbelt used command ::ref | Player rights = PLAYER	
[4/18/23 08:31PM] Dadsbelt used command ::bank | Player rights = PLAYER	
[4/18/23 08:31PM] Dadsbelt used command ::bank | Player rights = PLAYER	
[4/18/23 08:31PM] Dadsbelt used command ::home | Player rights = PLAYER	
[4/18/23 08:36PM] Dadsbelt used command ::train | Player rights = PLAYER	
[4/18/23 08:38PM] Dadsbelt used command ::tain | Player rights = PLAYER	
[4/18/23 08:38PM] Dadsbelt used command ::train | Player rights = PLAYER	
[4/18/23 08:41PM] Dadsbelt used command ::veigar | Player rights = PLAYER	
[4/18/23 08:42PM] Dadsbelt used command ::curses | Player rights = PLAYER	
[4/18/23 08:42PM] Dadsbelt used command ::prayer | Player rights = PLAYER	
[4/18/23 08:42PM] Dadsbelt used command ::commnads | Player rights = PLAYER	
[4/18/23 08:42PM] Dadsbelt used command ::commands | Player rights = PLAYER	
[4/18/23 08:45PM] Dadsbelt used command ::train2 | Player rights = PLAYER	
