[4/17/23 05:31PM] Author used command ::referral | Player rights = PLAYER	
[4/17/23 05:32PM] Author used command ::veigar | Player rights = PLAYER	
[4/17/23 05:33PM] Author used command ::ninetauks | Player rights = PLAYER	
[4/17/23 05:33PM] Author used command ::ninetails | Player rights = PLAYER	
[4/17/23 05:33PM] Author used command ::train | Player rights = PLAYER	
[4/17/23 05:34PM] Author used command ::bank | Player rights = PLAYER	
[4/17/23 05:41PM] Author used command ::home | Player rights = PLAYER	
[4/17/23 05:44PM] Author used command ::train | Player rights = PLAYER	
[4/17/23 05:50PM] Author used command ::home | Player rights = PLAYER	
[4/17/23 05:52PM] Author used command ::train | Player rights = PLAYER	
[4/17/23 05:53PM] Author used command ::tasks | Player rights = PLAYER	
[4/17/23 05:59PM] Author used command ::tasks | Player rights = PLAYER	
[4/17/23 06:00PM] Author used command ::home | Player rights = PLAYER	
[4/17/23 06:01PM] Author used command ::stats | Player rights = PLAYER	
[4/17/23 06:02PM] Author used command ::itemstats | Player rights = PLAYER	
[4/17/23 06:02PM] Author used command ::stats | Player rights = PLAYER	
[4/17/23 06:02PM] Author used command ::veigar | Player rights = PLAYER	
[4/18/23 10:19AM] Author used command ::npckills | Player rights = PLAYER	
[4/18/23 10:19AM] Author used command ::kc | Player rights = PLAYER	
[4/18/23 10:20AM] Author used command ::home | Player rights = PLAYER	
[4/18/23 10:22AM] Author used command ::altar | Player rights = PLAYER	
[4/18/23 10:24AM] Author used command ::dr | Player rights = PLAYER	
[4/18/23 10:24AM] Author used command ::dr | Player rights = PLAYER	
[4/18/23 10:39AM] Author used command ::veigar | Player rights = PLAYER	
[4/18/23 10:41AM] Author used command ::golden | Player rights = PLAYER	
[4/18/23 10:41AM] Author used command ::veigar | Player rights = PLAYER	
[4/18/23 10:41AM] Author used command ::golden | Player rights = PLAYER	
[4/18/23 10:42AM] Author used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:42AM] Author used command ::golden | Player rights = PLAYER	
[4/18/23 10:42AM] Author used command ::meruem | Player rights = PLAYER	
