[4/15/23 11:24AM] Ratskii used command ::vote | Player rights = PLAYER	
[4/15/23 11:25AM] Ratskii used command ::claimvotes | Player rights = PLAYER	
[4/15/23 11:25AM] Ratskii used command ::claimvote | Player rights = PLAYER	
[4/15/23 11:25AM] Ratskii used command ::voted | Player rights = PLAYER	
[4/15/23 11:26AM] Ratskii used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 11:26AM] Ratskii used command ::shops | Player rights = PLAYER	
[4/15/23 11:27AM] Ratskii used command ::Shop | Player rights = PLAYER	
[4/15/23 11:27AM] Ratskii used command ::home | Player rights = PLAYER	
[4/15/23 11:27AM] Ratskii used command ::pos | Player rights = PLAYER	
[4/15/23 11:27AM] Ratskii used command ::pos | Player rights = PLAYER	
[4/15/23 11:28AM] Ratskii used command ::veigar | Player rights = PLAYER	
[4/15/23 11:29AM] Ratskii used command ::ninetails | Player rights = PLAYER	
[4/15/23 11:30AM] Ratskii used command ::home | Player rights = PLAYER	
[4/15/23 11:30AM] Ratskii used command ::home | Player rights = PLAYER	
[4/15/23 11:59AM] Ratskii used command ::veigar | Player rights = PLAYER	
[4/15/23 12:12PM] Ratskii used command ::home | Player rights = PLAYER	
[4/15/23 12:28PM] Ratskii used command ::veigar | Player rights = PLAYER	
[4/15/23 12:29PM] Ratskii used command ::ninetails | Player rights = PLAYER	
[4/15/23 12:30PM] Ratskii used command ::mereum | Player rights = PLAYER	
[4/15/23 12:30PM] Ratskii used command ::meruem | Player rights = PLAYER	
[4/15/23 12:30PM] Ratskii used command ::golden | Player rights = PLAYER	
[4/15/23 12:45PM] Ratskii used command ::voteboss | Player rights = PLAYER	
[4/15/23 12:59PM] Ratskii used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:11PM] Ratskii used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:12PM] Ratskii used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:29PM] Ratskii used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:29PM] Ratskii used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:58PM] Ratskii used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:00PM] Ratskii used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:02PM] Ratskii used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:04PM] Ratskii used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:04PM] Ratskii used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:28PM] Ratskii used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Ratskii used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Ratskii used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:45PM] Ratskii used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:03PM] Ratskii used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:47AM] Ratskii used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:48AM] Ratskii used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53AM] Ratskii used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:04AM] Ratskii used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:10AM] Ratskii used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:10AM] Ratskii used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:12AM] Ratskii used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:44AM] Ratskii used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] Ratskii used command ::AFK | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:42AM] Ratskii used command ::Afk | Player rights = GRACEFUL_DONATOR	
