[4/20/23 07:35AM] Shit used command ::voteboss | Player rights = PLAYER	
[4/20/23 07:43AM] Shit used command ::afk | Player rights = PLAYER	
[4/20/23 07:44AM] Shit used command ::shops | Player rights = PLAYER	
[4/20/23 07:45AM] Shit used command ::vote | Player rights = PLAYER	
[4/20/23 07:49AM] Shit used command ::veigar | Player rights = PLAYER	
[4/20/23 08:20AM] Shit used command ::veigar | Player rights = PLAYER	
[4/20/23 08:49AM] Shit used command ::veigar | Player rights = PLAYER	
[4/20/23 09:26AM] Shit used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:19AM] Shit used command ::vboss | Player rights = PLAYER	
[4/20/23 10:20AM] Shit used command ::veigar | Player rights = PLAYER	
[4/20/23 10:22AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:24AM] Shit used command ::veigar | Player rights = PLAYER	
[4/20/23 10:25AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:26AM] Shit used command ::veigar | Player rights = PLAYER	
[4/20/23 10:28AM] Shit used command ::meruem | Player rights = PLAYER	
[4/20/23 10:30AM] Shit used command ::golden | Player rights = PLAYER	
[4/20/23 10:30AM] Shit used command ::golden | Player rights = PLAYER	
[4/20/23 10:31AM] Shit used command ::golden | Player rights = PLAYER	
[4/20/23 10:34AM] Shit used command ::veigar | Player rights = PLAYER	
[4/20/23 10:38AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:40AM] Shit used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:42AM] Shit used command ::meruem | Player rights = PLAYER	
[4/20/23 10:44AM] Shit used command ::meruem | Player rights = PLAYER	
[4/20/23 10:47AM] Shit used command ::vboss | Player rights = PLAYER	
[4/20/23 10:49AM] Shit used command ::veigar | Player rights = PLAYER	
[4/20/23 10:54AM] Shit used command ::boss | Player rights = PLAYER	
[4/20/23 10:54AM] Shit used command ::vbiss | Player rights = PLAYER	
[4/20/23 10:54AM] Shit used command ::vboss | Player rights = PLAYER	
[4/20/23 11:19AM] Shit used command ::veigar | Player rights = PLAYER	
