[4/16/23 03:06AM] Bobby O used command ::reward 2 all | Player rights = PLAYER	
[4/16/23 03:06AM] Bobby O used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 03:07AM] Bobby O used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 03:31AM] Bobby O used command ::vboss | Player rights = PLAYER	
[4/16/23 03:51AM] Bobby O used command ::vboss | Player rights = PLAYER	
[4/16/23 04:44AM] Bobby O used command ::ninetails | Player rights = PLAYER	
[4/16/23 04:44AM] Bobby O used command ::veigar | Player rights = PLAYER	
[4/16/23 04:46AM] Bobby O used command ::ref | Player rights = PLAYER	
[4/16/23 04:47AM] Bobby O used command ::ninetails | Player rights = PLAYER	
[4/16/23 04:53AM] Bobby O used command ::veigar | Player rights = PLAYER	
[4/16/23 04:56AM] Bobby O used command ::veigar | Player rights = PLAYER	
[4/16/23 05:25AM] Bobby O used command ::ninetails | Player rights = PLAYER	
[4/16/23 05:27AM] Bobby O used command ::meruem | Player rights = PLAYER	
[4/16/23 05:28AM] Bobby O used command ::golden | Player rights = PLAYER	
[4/16/23 05:29AM] Bobby O used command ::golden | Player rights = PLAYER	
[4/16/23 05:29AM] Bobby O used command ::golden | Player rights = PLAYER	
[4/16/23 05:53AM] Bobby O used command ::veigar | Player rights = PLAYER	
[4/16/23 06:12AM] Bobby O used command ::Edge | Player rights = PLAYER	
[4/16/23 06:12AM] Bobby O used command ::wests | Player rights = PLAYER	
[4/16/23 06:12AM] Bobby O used command ::West | Player rights = PLAYER	
[4/16/23 06:12AM] Bobby O used command ::east | Player rights = PLAYER	
[4/16/23 06:12AM] Bobby O used command ::mb | Player rights = PLAYER	
[4/16/23 06:12AM] Bobby O used command ::home2 | Player rights = PLAYER	
[4/16/23 06:12AM] Bobby O used command ::oldhome | Player rights = PLAYER	
[4/16/23 06:12AM] Bobby O used command ::dzone | Player rights = PLAYER	
[4/16/23 06:24AM] Bobby O used command ::ninetails | Player rights = PLAYER	
[4/16/23 06:24AM] Bobby O used command ::veigar | Player rights = PLAYER	
[4/16/23 06:25AM] Bobby O used command ::ninetails | Player rights = PLAYER	
[4/17/23 09:58PM] Bobby O used command ::veigar | Player rights = PLAYER	
[4/17/23 09:59PM] Bobby O used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:25AM] Bobby O used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 12:40AM] Bobby O used command ::veigar | Player rights = PLAYER	
[4/18/23 12:42AM] Bobby O used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:42AM] Bobby O used command ::meruem | Player rights = PLAYER	
[4/18/23 12:44AM] Bobby O used command ::vboss | Player rights = PLAYER	
[4/18/23 02:41AM] Bobby O used command ::veigar | Player rights = PLAYER	
[4/18/23 02:42AM] Bobby O used command ::ninetails | Player rights = PLAYER	
[4/18/23 02:42AM] Bobby O used command ::vboss | Player rights = PLAYER	
[4/18/23 02:43AM] Bobby O used command ::meruem | Player rights = PLAYER	
[4/18/23 03:42AM] Bobby O used command ::ninetail | Player rights = PLAYER	
[4/18/23 03:42AM] Bobby O used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:39AM] Bobby O used command ::veigar | Player rights = PLAYER	
[4/18/23 04:42AM] Bobby O used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:43AM] Bobby O used command ::meruem | Player rights = PLAYER	
[4/18/23 04:44AM] Bobby O used command ::golden | Player rights = PLAYER	
