[4/18/23 09:27PM] Nameless0o used command ::train | Player rights = PLAYER	
[4/18/23 09:34PM] Nameless0o used command ::train | Player rights = PLAYER	
[4/18/23 09:41PM] Nameless0o used command ::veigar | Player rights = PLAYER	
[4/18/23 09:43PM] Nameless0o used command ::ninetails | Player rights = PLAYER	
[4/18/23 09:46PM] Nameless0o used command ::train | Player rights = PLAYER	
[4/18/23 09:46PM] Nameless0o used command ::vote | Player rights = PLAYER	
[4/18/23 09:54PM] Nameless0o used command ::claimvote | Player rights = PLAYER	
[4/18/23 09:54PM] Nameless0o used command ::claimvote | Player rights = PLAYER	
[4/18/23 09:54PM] Nameless0o used command ::reward 1 | Player rights = PLAYER	
[4/18/23 10:06PM] Nameless0o used command ::train | Player rights = PLAYER	
[4/18/23 10:11PM] Nameless0o used command ::veigar | Player rights = PLAYER	
[4/18/23 10:15PM] Nameless0o used command ::train | Player rights = PLAYER	
[4/18/23 10:17PM] Nameless0o used command ::voteboss | Player rights = PLAYER	
[4/18/23 10:22PM] Nameless0o used command ::train | Player rights = PLAYER	
[4/18/23 10:39PM] Nameless0o used command ::veigar | Player rights = PLAYER	
[4/18/23 10:41PM] Nameless0o used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:44PM] Nameless0o used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:45PM] Nameless0o used command ::meruem | Player rights = PLAYER	
[4/18/23 10:46PM] Nameless0o used command ::meruem | Player rights = PLAYER	
[4/18/23 10:47PM] Nameless0o used command ::meruem | Player rights = PLAYER	
[4/18/23 10:48PM] Nameless0o used command ::meruem | Player rights = PLAYER	
[4/18/23 10:49PM] Nameless0o used command ::golden | Player rights = PLAYER	
[4/18/23 10:52PM] Nameless0o used command ::train | Player rights = PLAYER	
[4/18/23 10:56PM] Nameless0o used command ::home | Player rights = PLAYER	
[4/18/23 11:07PM] Nameless0o used command ::teleport | Player rights = PLAYER	
[4/18/23 11:07PM] Nameless0o used command ::commands | Player rights = PLAYER	
[4/18/23 11:08PM] Nameless0o used command ::voted | Player rights = PLAYER	
[4/18/23 11:09PM] Nameless0o used command ::train2 | Player rights = PLAYER	
[4/18/23 11:09PM] Nameless0o used command ::train2 | Player rights = PLAYER	
[4/18/23 11:09PM] Nameless0o used command ::train | Player rights = PLAYER	
