[4/20/23 07:55PM] Smelly Arab used command ::train | Player rights = PLAYER	
[4/20/23 07:56PM] Smelly Arab used command ::train | Player rights = PLAYER	
[4/20/23 07:58PM] Smelly Arab used command ::home | Player rights = PLAYER	
[4/20/23 08:01PM] Smelly Arab used command ::train | Player rights = PLAYER	
[4/20/23 08:19PM] Smelly Arab used command ::veigar | Player rights = PLAYER	
[4/20/23 08:39PM] Smelly Arab used command ::veigar | Player rights = PLAYER	
[4/20/23 09:02PM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:02AM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:03AM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:27AM] Smelly Arab used command ::stats | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:02PM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:32PM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:32PM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:43PM] Smelly Arab used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:52PM] Smelly Arab used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:03PM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02PM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:21PM] Smelly Arab used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:32PM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:33PM] Smelly Arab used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:34PM] Smelly Arab used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:02PM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:02PM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:09PM] Smelly Arab used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:10PM] Smelly Arab used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:10PM] Smelly Arab used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:10PM] Smelly Arab used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:03AM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:03AM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:04AM] Smelly Arab used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:04AM] Smelly Arab used command ::maeruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:04AM] Smelly Arab used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:32AM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:33AM] Smelly Arab used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Smelly Arab used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:33AM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:33AM] Smelly Arab used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Smelly Arab used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:37AM] Smelly Arab used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:02AM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32AM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:33AM] Smelly Arab used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:37AM] Smelly Arab used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:41AM] Smelly Arab used command ::nobledefeat | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:44AM] Smelly Arab used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:29AM] Smelly Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:33AM] Smelly Arab used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:34AM] Smelly Arab used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:35AM] Smelly Arab used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:43PM] Smelly Arab used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:44PM] Smelly Arab used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:46PM] Smelly Arab used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:46PM] Smelly Arab used command ::rewad 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:46PM] Smelly Arab used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:51PM] Smelly Arab used command ::afk | Player rights = GRACEFUL_DONATOR	
