[4/21/23 03:06PM] Big Shot used command ::voteboss | Player rights = PLAYER	
[4/21/23 03:08PM] Big Shot used command ::starter | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:09PM] Big Shot used command ::starter | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:11PM] Big Shot used command ::curses | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:14PM] Big Shot used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:14PM] Big Shot used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:15PM] Big Shot used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:18PM] Big Shot used command ::train | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:20PM] Big Shot used command ::reward 1 3 | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:24PM] Big Shot used command ::train | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:29PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:31PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:32PM] Big Shot used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:34PM] Big Shot used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:35PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:39PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:41PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:41PM] Big Shot used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:42PM] Big Shot used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:45PM] Big Shot used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:01PM] Big Shot used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:06PM] Big Shot used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:09PM] Big Shot used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:11PM] Big Shot used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:13PM] Big Shot used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:17PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:20PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:23PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:26PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:29PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:31PM] Big Shot used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33PM] Big Shot used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:34PM] Big Shot used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:35PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:40PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:02PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:02PM] Big Shot used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:04PM] Big Shot used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:06PM] Big Shot used command ::reward 1 3 | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:18PM] Big Shot used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:30PM] Big Shot used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:32PM] Big Shot used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:34PM] Big Shot used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:29PM] Big Shot used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:33PM] Big Shot used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:34PM] Big Shot used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:34PM] Big Shot used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:35PM] Big Shot used command ::golden | Player rights = CLERIC_DONATOR	
