[4/22/23 02:06PM] Fevang used command ::starter | Player rights = PLAYER	
[4/22/23 02:10PM] Fevang used command ::orc | Player rights = PLAYER	
[4/22/23 02:11PM] Fevang used command ::vote | Player rights = PLAYER	
[4/22/23 02:12PM] Fevang used command ::voted | Player rights = PLAYER	
[4/22/23 02:12PM] Fevang used command ::claim | Player rights = PLAYER	
[4/22/23 02:12PM] Fevang used command ::claimvote | Player rights = PLAYER	
[4/22/23 02:12PM] Fevang used command ::voteclaim | Player rights = PLAYER	
[4/22/23 02:12PM] Fevang used command ::voted | Player rights = PLAYER	
[4/22/23 02:12PM] Fevang used command ::claimvote | Player rights = PLAYER	
[4/22/23 02:12PM] Fevang used command ::claimreward | Player rights = PLAYER	
[4/22/23 02:13PM] Fevang used command ::claim1 | Player rights = PLAYER	
[4/22/23 02:13PM] Fevang used command ::claim | Player rights = PLAYER	
[4/22/23 02:13PM] Fevang used command ::orcs | Player rights = PLAYER	
[4/22/23 02:13PM] Fevang used command ::orc | Player rights = PLAYER	
[4/22/23 02:23PM] Fevang used command ::voteclaim | Player rights = PLAYER	
[4/22/23 02:23PM] Fevang used command ::voted | Player rights = PLAYER	
[4/22/23 02:23PM] Fevang used command ::vclaim | Player rights = PLAYER	
[4/22/23 02:23PM] Fevang used command ::claimall | Player rights = PLAYER	
[4/22/23 02:32PM] Fevang used command ::veigar | Player rights = PLAYER	
[4/22/23 02:33PM] Fevang used command ::meruem | Player rights = PLAYER	
[4/22/23 03:16PM] Fevang used command ::reward1all | Player rights = PLAYER	
[4/22/23 03:16PM] Fevang used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 03:22PM] Fevang used command ::voteboss | Player rights = PLAYER	
[4/22/23 04:32PM] Fevang used command ::veigar | Player rights = PLAYER	
[4/22/23 04:33PM] Fevang used command ::ninetails | Player rights = PLAYER	
[4/22/23 04:34PM] Fevang used command ::noble | Player rights = PLAYER	
[4/22/23 04:34PM] Fevang used command ::meruem | Player rights = PLAYER	
[4/22/23 04:36PM] Fevang used command ::vboss | Player rights = PLAYER	
[4/22/23 05:03PM] Fevang used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:02PM] Fevang used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:49AM] Fevang used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:50AM] Fevang used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:51AM] Fevang used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:51AM] Fevang used command ::claim 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:05AM] Fevang used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:05AM] Fevang used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:04AM] Fevang used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:05AM] Fevang used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:05AM] Fevang used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:34AM] Fevang used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:04AM] Fevang used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:05AM] Fevang used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:37PM] Fevang used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:31PM] Fevang used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 07:32PM] Fevang used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 08:01PM] Fevang used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 05:14AM] Fevang used command ::vote | Player rights = CLERIC_DONATOR	
[4/24/23 05:15AM] Fevang used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/24/23 03:31PM] Fevang used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 03:32PM] Fevang used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 03:34PM] Fevang used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 04:10PM] Fevang used command ::ref walkchaos | Player rights = CLERIC_DONATOR	
[4/25/23 04:25AM] Fevang used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 04:26AM] Fevang used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/25/23 04:36AM] Fevang used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 04:54AM] Fevang used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 05:17AM] Fevang used command ::vboss | Player rights = CLERIC_DONATOR	
[4/25/23 05:31AM] Fevang used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 05:33AM] Fevang used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 05:35AM] Fevang used command ::mereum | Player rights = CLERIC_DONATOR	
[4/25/23 05:35AM] Fevang used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 05:35AM] Fevang used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 08:21PM] Fevang used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 08:21PM] Fevang used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/25/23 08:57PM] Fevang used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 08:59PM] Fevang used command ::vboss | Player rights = CLERIC_DONATOR	
