[4/20/23 10:35AM] Degree used command ::refer | Player rights = PLAYER	
[4/20/23 10:47AM] Degree used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:49AM] Degree used command ::Veigar | Player rights = PLAYER	
[4/20/23 10:54AM] Degree used command ::Voteboss | Player rights = PLAYER	
[4/20/23 10:56AM] Degree used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:17AM] Degree used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:17AM] Degree used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:18AM] Degree used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:19AM] Degree used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:49AM] Degree used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:33PM] Degree used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:06PM] Degree used command ::vboss | Player rights = GRACEFUL_DONATOR	
