[4/18/23 01:05AM] Zennit used command ::ref | Player rights = PLAYER	
[4/18/23 01:11AM] Zennit used command ::veigar | Player rights = PLAYER	
[4/18/23 01:13AM] Zennit used command ::starter | Player rights = PLAYER	
[4/18/23 01:14AM] Zennit used command ::starter | Player rights = PLAYER	
[4/18/23 01:15AM] Zennit used command ::starter | Player rights = PLAYER	
[4/18/23 01:41AM] Zennit used command ::veigar | Player rights = PLAYER	
[4/18/23 02:11AM] Zennit used command ::veigar | Player rights = PLAYER	
[4/18/23 02:39AM] Zennit used command ::::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:39AM] Zennit used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41AM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42AM] Zennit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42AM] Zennit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42AM] Zennit used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:43AM] Zennit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:52AM] Zennit used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:52AM] Zennit used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:11AM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41AM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:42AM] Zennit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:11AM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:34AM] Zennit used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:41AM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42AM] Zennit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:43AM] Zennit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:44AM] Zennit used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:05PM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:11PM] Zennit used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:35PM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:38PM] Zennit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:52PM] Zennit used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:56PM] Zennit used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:05AM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:33AM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:39AM] Zennit used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:44AM] Zennit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:51AM] Zennit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:23AM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:12PM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Zennit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Zennit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:20PM] Zennit used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:22PM] Zennit used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:22PM] Zennit used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:23PM] Zennit used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:23PM] Zennit used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:23PM] Zennit used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:43PM] Zennit used command ::veigar | Player rights = GRACEFUL_DONATOR	
