[4/17/23 08:03AM] Kyle used command ::train | Player rights = PLAYER	
[4/17/23 08:04AM] Kyle used command ::vote | Player rights = PLAYER	
[4/17/23 08:05AM] Kyle used command ::Train | Player rights = PLAYER	
[4/17/23 08:05AM] Kyle used command ::voted | Player rights = PLAYER	
[4/17/23 08:05AM] Kyle used command ::claimvote | Player rights = PLAYER	
[4/17/23 08:05AM] Kyle used command ::claim | Player rights = PLAYER	
[4/17/23 08:05AM] Kyle used command ::voted | Player rights = PLAYER	
[4/17/23 08:06AM] Kyle used command ::Reward 1 | Player rights = PLAYER	
[4/17/23 08:06AM] Kyle used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 08:06AM] Kyle used command ::reward 1  | Player rights = PLAYER	
[4/17/23 08:07AM] Kyle used command ::voteboss | Player rights = PLAYER	
[4/17/23 08:10AM] Kyle used command ::veigar  | Player rights = PLAYER	
[4/17/23 08:17AM] Kyle used command ::train | Player rights = PLAYER	
[4/17/23 08:17AM] Kyle used command ::home | Player rights = PLAYER	
[4/17/23 08:27AM] Kyle used command ::Train | Player rights = PLAYER	
[4/17/23 08:33AM] Kyle used command ::home | Player rights = PLAYER	
[4/17/23 09:51AM] Kyle used command ::train | Player rights = PLAYER	
