[4/16/23 02:03PM] Mana used command ::ref | Player rights = PLAYER	
[4/16/23 02:04PM] Mana used command ::train | Player rights = PLAYER	
[4/16/23 02:09PM] Mana used command ::bank | Player rights = PLAYER	
[4/16/23 02:09PM] Mana used command ::bank | Player rights = PLAYER	
[4/16/23 02:15PM] Mana used command ::bank | Player rights = PLAYER	
[4/16/23 02:16PM] Mana used command ::train | Player rights = PLAYER	
[4/16/23 02:24PM] Mana used command ::golden | Player rights = PLAYER	
[4/16/23 02:25PM] Mana used command ::home | Player rights = PLAYER	
[4/16/23 02:33PM] Mana used command ::train | Player rights = PLAYER	
[4/16/23 02:38PM] Mana used command ::train | Player rights = PLAYER	
[4/16/23 02:52PM] Mana used command ::upgrade | Player rights = PLAYER	
[4/16/23 03:02PM] Mana used command ::train | Player rights = PLAYER	
[4/16/23 03:23PM] Mana used command ::train | Player rights = PLAYER	
[4/16/23 03:23PM] Mana used command ::ninetail | Player rights = PLAYER	
[4/16/23 03:23PM] Mana used command ::ninetails | Player rights = PLAYER	
[4/16/23 03:24PM] Mana used command ::meruem | Player rights = PLAYER	
[4/16/23 03:24PM] Mana used command ::veigar | Player rights = PLAYER	
[4/16/23 03:31PM] Mana used command ::home | Player rights = PLAYER	
[4/16/23 03:53PM] Mana used command ::veigar | Player rights = PLAYER	
[4/16/23 03:54PM] Mana used command ::vote | Player rights = PLAYER	
[4/16/23 05:23PM] Mana used command ::veigar | Player rights = PLAYER	
[4/16/23 05:24PM] Mana used command ::ninetails | Player rights = PLAYER	
[4/16/23 05:24PM] Mana used command ::muruem | Player rights = PLAYER	
[4/16/23 05:24PM] Mana used command ::meruem | Player rights = PLAYER	
[4/16/23 05:25PM] Mana used command ::golden | Player rights = PLAYER	
[4/16/23 05:25PM] Mana used command ::golden | Player rights = PLAYER	
[4/16/23 05:25PM] Mana used command ::home | Player rights = PLAYER	
[4/16/23 05:33PM] Mana used command ::pos | Player rights = PLAYER	
[4/16/23 05:36PM] Mana used command ::vote | Player rights = PLAYER	
[4/16/23 05:38PM] Mana used command ::reward 1 | Player rights = PLAYER	
[4/16/23 05:38PM] Mana used command ::reward 2 | Player rights = PLAYER	
[4/16/23 05:53PM] Mana used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:57PM] Mana used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:01PM] Mana used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:11PM] Mana used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:11PM] Mana used command ::bank | Player rights = GRACEFUL_DONATOR	
