[4/18/23 11:53PM] Gjuki used command ::refer | Player rights = PLAYER	
[4/18/23 11:53PM] Gjuki used command ::refer | Player rights = PLAYER	
[4/23/23 08:05PM] Gjuki used command ::bank | Player rights = PLAYER	
[4/23/23 08:31PM] Gjuki used command ::veigar | Player rights = PLAYER	
[4/23/23 08:32PM] Gjuki used command ::bank | Player rights = PLAYER	
[4/23/23 09:01PM] Gjuki used command ::veigar | Player rights = PLAYER	
[4/23/23 09:15PM] Gjuki used command ::voteboss | Player rights = PLAYER	
[4/23/23 09:32PM] Gjuki used command ::veigar | Player rights = PLAYER	
[4/23/23 09:33PM] Gjuki used command ::ninetails | Player rights = PLAYER	
[4/23/23 10:01PM] Gjuki used command ::veigar | Player rights = PLAYER	
[4/23/23 10:01PM] Gjuki used command ::veigar | Player rights = PLAYER	
[4/23/23 10:30PM] Gjuki used command ::veigar | Player rights = PLAYER	
[4/23/23 10:33PM] Gjuki used command ::ninetails | Player rights = PLAYER	
[4/23/23 10:35PM] Gjuki used command ::mereum | Player rights = PLAYER	
[4/23/23 10:41PM] Gjuki used command ::iron | Player rights = PLAYER	
[4/24/23 09:07AM] Gjuki used command ::vote | Player rights = PLAYER	
[4/24/23 06:28PM] Gjuki used command ::vote | Player rights = PLAYER	
[4/24/23 06:29PM] Gjuki used command ::reward1 | Player rights = PLAYER	
[4/24/23 06:29PM] Gjuki used command ::reward 1 | Player rights = PLAYER	
